sample,taps_from_fp,excess_path_m,reflector_off_m,real,imag,amplitude,amplitude_norm
767,19.3905999999999,5.82260936799999,3.24246946660725,-1495,-1351,2015,1.42202
768,20.3905999999999,6.12288936799998,3.39344291715535,366,-971,1037.69,0.73231
769,21.3905999999999,6.42316936799998,3.54434556177912,1912,-714,2040.97,1.44034
770,22.3905999999999,6.72344936799998,3.69518607512732,1140,253,1167.74,0.82409
771,23.3905999999999,7.02372936799998,3.84597176764551,-1646,2061,2637.62,1.86141
772,24.3905999999999,7.32400936799998,3.99670884409133,-4233,4706,6329.67,4.46695
773,25.3905999999999,7.62428936799998,4.14740260531208,-3188,7476,8127.36,5.73561
774,26.3905999999999,7.92456936799998,4.29805760732228,610,9292,9312,6.57163
775,27.3905999999999,8.22484936799999,4.4486777878795,3034,8355,8888.82,6.27299
776,28.3905999999999,8.52512936799998,4.59926656806104,1875,4511,4885.16,3.44753
777,29.3905999999999,8.82540936799998,4.74982693442566,-192,968,986.86,0.69644
778,30.3905999999999,9.12568936799998,4.90036150596127,-556,-1278,1393.71,0.98356
779,31.3905999999999,9.42596936799998,5.05087258901059,444,-2287,2329.7,1.64411
780,32.3905999999999,9.72624936799999,5.20136222262303,-391,-3430,3452.21,2.43628
781,33.3905999999999,10.026529368,5.35183221622666,-2492,-5993,6490.46,4.58043
782,34.3905999999999,10.326809368,5.50228418109725,-4370,-7469,8653.49,6.10691
783,35.3905999999999,10.627089368,5.65271955678544,-5171,-5200,7333.43,5.17532
784,36.3905999999999,10.927369368,5.80313963342052,-5210,-1401,5395.08,3.8074
785,37.3905999999999,11.227649368,5.95354557062324,-3439,603,3491.47,2.46398
786,38.3905999999999,11.527929368,6.10393841361453,-1708,1394,2204.65,1.55586
787,39.3905999999999,11.828209368,6.25431910699403,-2452,2946,3832.91,2.70495
788,40.3905999999999,12.128489368,6.40468850657252,-4454,4296,6188.19,4.36711
789,41.3905999999999,12.428769368,6.55504738957192,-5034,3576,6174.86,4.3577
790,42.3905999999999,12.729049368,6.70539646344981,-3026,1374,3323.33,2.34533
791,43.3905999999999,13.029329368,6.85573637356023,-1049,670,1244.71,0.87841
792,44.3905999999999,13.329609368,7.00606770982612,-95,1285,1288.51,0.90932
793,45.3905999999999,13.629889368,7.1563910125691,-470,1407,1483.42,1.04688
794,46.3905999999999,13.930169368,7.30670677761817,-1311,523,1411.47,0.9961
795,47.3905999999999,14.230449368,7.4570154607995,-1263,-408,1327.27,0.93667
796,48.3905999999999,14.530729368,7.60731748189296,-125,-554,567.93,0.4008
797,49.3905999999999,14.831009368,7.75761322812795,1104,-646,1279.11,0.90269
798,50.3905999999999,15.131289368,7.90790305727993,1249,-1062,1639.46,1.157
799,51.3905999999999,15.431569368,8.05818730041992,514,-1155,1264.21,0.89217
800,52.3905999999999,15.731849368,8.20846626436147,-415,-124,433.13,0.30567
801,53.3905999999999,16.032129368,8.35874023384337,-1200,1269,1746.53,1.23255
802,54.3905999999999,16.332409368,8.50900947348065,-1234,2265,2579.34,1.82028
803,55.3905999999999,16.632689368,8.65927422951225,-826,3723,3813.53,2.69127
804,56.3905999999999,16.932969368,8.80953473136955,-411,5105,5121.52,3.61434
805,57.3905999999999,17.233249368,8.95979119308692,749,4447,4509.64,3.18252
806,58.3905999999999,17.533529368,9.11004381457244,2527,2020,3235.14,2.28309
807,59.3905999999999,17.833809368,9.26029278275482,3155,-88,3156.23,2.2274
808,60.3905999999999,18.134089368,9.41053827262036,1919,-128,1923.26,1.35728
809,61.3905999999999,18.434369368,9.56078044815192,-304,1301,1336.05,0.94287
810,62.3905999999999,18.734649368,9.71101946318076,-2040,3212,3805.07,2.6853
811,63.3905999999999,19.034929368,9.86125546216034,-1925,4845,5213.41,3.67919
812,64.3905999999999,19.335209368,10.0114885808704,-383,5594,5607.1,3.95702
813,65.3905999999999,19.635489368,10.1617189470586,754,4365,4429.64,3.12607
814,66.3905999999999,19.935769368,10.3119466810259,617,1213,1360.9,0.96041
815,67.3905999999999,20.236049368,10.4621718961616,651,-1114,1290.27,0.91056
816,68.3905999999999,20.536329368,10.6123946994326,1322,-121,1327.53,0.93686
817,69.3905999999999,20.836609368,10.7626151918321,1405,2258,2659.43,1.87681
818,70.3905999999999,21.136889368,10.9128334687911,631,3056,3120.46,2.20216
819,71.3905999999999,21.437169368,11.0630496205558,543,1332,1438.43,1.01512
820,72.3905999999999,21.737449368,11.2132637325353,1238,-454,1318.62,0.93057
821,73.3905999999999,22.037729368,11.3634758856215,1228,-539,1341.08,0.94642
822,74.3905999999999,22.338009368,11.5136861564841,-119,626,637.21,0.44969
823,75.3905999999999,22.638289368,11.6638946178421,-1547,1406,2090.47,1.47528
824,76.3905999999999,22.938569368,11.8141013387154,-2866,2507,3807.76,2.6872
825,77.3905999999999,23.238849368,11.9643063846572,-2905,3456,4514.75,3.18613
826,78.3905999999999,23.539129368,12.1145098179687,-2261,3917,4522.72,3.19176
827,79.3905999999999,23.839409368,12.2647116978986,-1168,3762,3939.15,2.77992
828,80.3905999999999,24.139689368,12.4149120808278,-600,2789,2852.81,2.01327
829,81.3905999999999,24.439969368,12.5651110204405,-564,1621,1716.31,1.21123
830,82.3905999999999,24.740249368,12.7153085678841,8,862,862.04,0.60835
831,83.3905999999999,25.040529368,12.8655047719169,1223,640,1380.34,0.97413
832,84.3905999999999,25.340809368,13.0156996790464,2069,146,2074.14,1.46376
833,85.3905999999999,25.641089368,13.1658933336573,2236,-472,2285.27,1.61276
834,86.3905999999999,25.941369368,13.3160857781313,1671,-621,1782.66,1.25805
835,87.3905999999999,26.241649368,13.4662770529595,890,-565,1054.19,0.74396
836,88.3905999999999,26.541929368,13.6164671968457,-529,-487,719.03,0.50743
837,89.3905999999999,26.842209368,13.7666562468047,-2363,-569,2430.54,1.71527
838,90.3905999999999,27.142489368,13.9168442382531,-2813,-408,2842.43,2.00595
839,91.3905999999999,27.442769368,14.0670312050948,-830,84,834.24,0.58874
840,92.3905999999999,27.743049368,14.2172171798007,2357,725,2465.98,1.74028
841,93.3905999999999,28.043329368,14.3674021934841,3664,880,3768.2,2.65928
842,94.3905999999999,28.343609368,14.5175862759704,2688,721,2783.02,1.96402
843,95.3905999999999,28.643889368,14.6677694558633,1080,-251,1108.78,0.78249
844,96.3905999999999,28.944169368,14.8179517606067,253,-1354,1377.43,0.97208
845,97.3905999999999,29.244449368,14.968133216543,171,-1593,1602.15,1.13066
846,98.3905999999999,29.544729368,15.1183138489678,348,-1526,1565.18,1.10457
