taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4,transition_4_to_5,transition_5_to_6,transition_6_to_7,transition_7_to_8,transition_8_to_9,transition_9_to_10,transition_10_to_11,transition_11_to_12,transition_12_to_13,transition_13_to_14,transition_14_to_15,transition_15_to_16,transition_16_to_17,transition_17_to_18,transition_18_to_19,transition_19_to_20,transition_20_to_21,transition_21_to_22,transition_22_to_23,transition_23_to_24,transition_24_to_25,transition_25_to_26,transition_26_to_27,transition_27_to_28,transition_28_to_29,transition_29_to_30,transition_30_to_31,transition_31_to_32,transition_32_to_33,transition_33_to_34,transition_34_to_35,transition_35_to_36,transition_36_to_37,transition_37_to_38,transition_38_to_39,transition_39_to_40,transition_40_to_41,transition_41_to_42,transition_42_to_43,transition_43_to_44,transition_44_to_45,transition_45_to_46,transition_46_to_47,transition_47_to_48,transition_48_to_49,transition_49_to_50,transition_50_to_51,transition_51_to_52,transition_52_to_53,transition_53_to_54,transition_54_to_55
27.5,0.728994476973779,1.14791795314777,2.62852544764261,0.909532285374607,3.81756296525531,0.578961739630981,2.2987007316083,3.84758955174245,3.76695822810572,3.35645943222727,1.83999394408296,2.85347272715583,2.24770944676071,4.17947933840447,1.41717026995126,1.43840842265059,3.60277745010143,2.10916211761743,3.49694963806563,3.8379365013586,2.68217483346858,3.81902213127719,2.75990453509245,4.45637795252709,4.11022129091093,4.27562010819007,2.85641157590491,0.983257257786769,3.49215013563413,4.1595297205884,3.46157541029341,3.29880183434133,1.2098974239859,4.25453272761835,2.20792247369901,2.24008550370054,3.33311248905167,3.00140144230535,2.75983271417244,4.10654176787964,0.333801297865088,3.13439377264277,1.17563790820369,1.49813673598875,1.8132459969171,2.62076681520949,2.17317351167927,2.63969229020038,0.714253993378982,1.26045727013145,3.56884014682096,0.640126431558322,3.17258298276876,2.90480724811197
28,0.682018829242904,0.951604634172142,2.18460074083506,0.745839603788813,3.38296702396147,0.581354290179319,2.00365414074641,3.21312008010853,3.58754464364993,3.32688599073771,1.68880268728287,2.53243473298559,2.08351463095188,3.71402251382796,1.34712463253041,1.38463230523544,3.16197138482165,1.88759392227914,2.96753572804957,3.55541374691709,2.72190147925127,3.70196933252989,2.37143893820024,4.25855204847774,3.89735612177858,3.84092552158997,2.58220392749785,0.868319429862419,3.1451563508378,3.83915498079794,3.28500186936365,3.03881408123704,1.20846254895957,3.84501425176653,2.00295792146246,2.2088602816126,3.23437238016398,2.88144919863096,2.68447322688842,3.85394894925694,0.273510382597897,2.80638913794574,1.15175655876645,1.43330734221064,1.6179976319421,2.39296400551735,1.74723851651382,2.20070326450865,0.596356155630332,1.1245968342981,3.15913118287138,0.584636007904381,2.89414913130228,2.34551849636073
28.5,0.457664997283164,0.80040932119183,1.60276031348702,0.494075449622192,2.84203426085281,0.560300216754512,1.60478880266861,2.40322857779223,2.84930638043087,2.69410799745423,1.48967234282814,2.21148677515136,1.69038338391343,2.95685612135611,1.12736065787121,1.17256664812846,2.46936483468595,1.38047843156441,2.27049106996625,3.08534158906136,2.38675265823802,2.98340953533127,1.83012989687035,3.53904910823902,3.23109086383896,3.12805678868052,2.20429803019812,0.805933208079693,2.38186158286631,2.98494468869036,2.6337594685305,2.43581902458696,0.938113745749316,3.14019306686558,1.77431912051044,1.85194781247474,2.68002084681395,2.39699829859718,2.1622813325052,3.06895322167406,0.212407194359794,2.22408291797047,1.04035522691325,1.14105878200954,1.37802144770018,1.93660852209989,1.18281915796703,1.59524374566449,0.448695529437791,0.900763441797274,2.3762023334343,0.433181999946174,2.31548760919159,1.71179903101989
29,0.329044703705899,0.460084942388205,1.04307329361655,0.356323031372524,1.9305552026774,0.41661755260301,1.09527743486537,1.57241638957726,2.00313434766686,2.1157895491486,1.13905394983048,1.5699845204519,1.31448377162402,2.05252191195224,0.847299079088909,0.849558312196044,1.70119579225368,0.90483939735015,1.5136008889841,2.28507923347636,1.81823084950308,2.22538785444698,1.14431433522878,2.64192273520085,2.45635914208089,2.18933131040447,1.59447038859412,0.571003154020149,1.71907292160985,2.13187752975428,1.90658301722196,1.70659689097772,0.795590622692703,2.34628630665312,1.38918992964542,1.48028673954204,2.08596376855085,1.90807530628555,1.70688086874131,2.27740197013174,0.188894134707418,1.59178372787288,0.802197165542236,0.859839911074129,1.04361526286794,1.45887146695508,0.693015675563609,1.07363680202874,0.3966551070365,0.695512766364855,1.61102084332985,0.339138250953956,1.67208033068674,1.0157681374975
29.5,0.14631313245741,0.270299149072837,0.371843865890301,0.230058217244389,1.12145991610881,0.336586938979258,0.554842103670419,0.908275352103628,1.17909558185722,1.43292065131372,0.84540248518043,1.07074057996139,0.803249690134372,1.18301373743003,0.445421122916271,0.526872263755822,0.928631295070836,0.424247853209979,0.75964817100037,1.44074940404394,1.30814918766333,1.43291821690881,0.478414070372014,1.7031686556741,1.6380339170014,1.32634914644627,1.08849854795383,0.40879666396975,1.0963913952767,1.31251088934381,1.27086833404304,1.04653540544665,0.619888572480157,1.53702219014014,1.00654245970654,1.0180002224731,1.40761355383074,1.26485656519184,1.08623653134327,1.55947849583592,0.191673219870601,0.957370736118746,0.524786001190675,0.55391728213605,0.845239930340024,0.974001684236368,0.442188703339311,0.834944000488986,0.447804631259005,0.561838489527583,0.940196274142736,0.192592973534578,1.06473301088741,0.392789945724723
30,0.158681417435409,0.130973631581648,0.0594305943104974,0.26343906721807,0.542405033489321,0.243461678540153,0.186956196759988,0.778982898212988,0.419286572730396,0.853120798619168,0.625346376782361,0.652778637725533,0.429600967252586,0.648195778187864,0.142534004089053,0.393119439493843,0.360571016847381,0.129246837267478,0.436179847724188,0.691558836104373,0.725599667741241,0.786779717184143,0.146330485570335,0.88187652585702,1.00220033901188,0.751189675587886,0.73153275713807,0.306610056615354,0.728267260261546,0.763068051385162,0.774623343721278,0.55319652850737,0.44831100145723,0.939100335535262,0.786811119684209,0.690967283570793,0.794996294000415,0.742499491984357,0.603493569014632,0.95958403131502,0.189124977121027,0.563449759972897,0.254285250728475,0.317896681318077,0.682950642093754,0.607743572785804,0.470420823433102,0.870037554395411,0.524793713867089,0.522874424128266,0.635434269663861,0.178099090155752,0.727688080233024,0.382173389324803
30.5,0.126186658328834,0.187608200679294,0.297976896393725,0.219110715656249,0.520765291257543,0.142682039264993,0.289644601377998,1.07310553115483,0.404522734419072,0.611684818015958,0.552467198467486,0.595030313235346,0.439789790223589,0.839127196919345,0.156341254563614,0.332842334611215,0.623880434449217,0.201363002512992,0.661755379859309,0.55508794204006,0.348568480751463,0.742672604050705,0.442774373291507,0.787944315624954,0.970145009838732,0.836612921670819,0.639284646660405,0.238867576371116,0.829195010640299,0.88846333439805,0.6987652133857,0.567843132461465,0.367631588590844,0.775283495172439,0.786948575180691,0.651117860428034,0.609074467004751,0.50095312161538,0.466976570362639,0.88091786687997,0.170563040049268,0.749529390849735,0.276568924377073,0.404032252145075,0.670983846860367,0.716534501113956,0.657958148193412,1.08990571404184,0.599392368218746,0.644693027640435,0.942585493978147,0.292232967317806,0.792871900657623,0.747736098533267
31,0.187126875981942,0.224710879178053,0.426892273035279,0.258258836257329,0.741351936357637,0.166941452974218,0.458837274482442,1.4047691305903,0.713155989685998,0.74636309739871,0.667087936292028,0.797233673643984,0.573319513011366,1.23275765129015,0.246515801059817,0.328564904470182,0.930882014214223,0.327475155652866,0.956300682531793,0.787627551771194,0.42479932936886,0.988727372250182,0.503329021155365,1.14901992116364,1.35106196638364,1.33121303402881,0.885441109347293,0.135845279510699,1.03281561078818,1.30496925444434,1.06180065846074,0.788277708105972,0.500243490112074,1.09991506418552,1.09635257489687,1.01942923511244,0.817645460885935,0.599246670243683,0.723789577699252,1.26839179250297,0.151117635352958,1.07531714335334,0.34391448533739,0.57149694257809,0.843020285141316,0.919841709245486,0.680255316934934,1.37471135652456,0.694436295319976,0.724685801262605,1.2532948370336,0.393773257850991,1.17210199274516,0.996780411075126
31.5,0.105181898038921,0.39557484638205,0.369187184023124,0.362450115146529,0.997491628521141,0.246967318248303,0.512904649321107,1.62958770153141,0.881763698522033,0.83441812898963,0.793447536718513,1.18547486531712,0.634166964749255,1.55244641001295,0.317275820125346,0.35822100600612,1.41709013071041,0.5113244756924,1.24142160621912,1.1927163952239,0.736067377615381,1.28321114241513,0.530928899704322,1.33709713134135,1.54315885123307,1.56291801529324,1.13722004168956,0.195157785624776,1.22903583696683,1.45269919624006,1.16129513724532,1.05690434120285,0.506279688748148,1.31179025572216,1.46964747549849,1.31405520291431,0.926812586574462,0.772580364364251,0.831634673371745,1.42479055430568,0.121434403762688,1.14533331075356,0.384531054872821,0.478941867141497,1.18233804271609,1.29476291928258,0.896170953778544,1.7976224631707,0.823885121901179,0.823153992783575,1.62980534899613,0.442191185051199,1.39332146238662,1.23534181567481
32,0.197101318512367,0.383490884612364,0.716373895177,0.418474296076978,1.21020727997167,0.27097300138534,0.744360844761048,2.0056476360691,1.14301040210406,1.15137771529862,1.00701582720142,1.36536562373945,0.889718193032949,2.02303509611709,0.451517498280135,0.244916512203053,1.79231454489929,0.689223140985611,1.79505143603036,1.51811910432599,0.955573034354904,1.71981156342961,0.854572937827805,1.51129835356861,1.83557453636808,1.88169249365083,1.32389080322355,0.200553338560594,1.55569065516902,1.86956446060495,1.60010273895808,1.41422824918112,0.68157176974302,1.78454736850923,1.5927957285715,1.68194950959846,1.2223901310204,1.07720996138838,1.15319742896447,1.93085329454444,0.100019033654386,1.56153863842032,0.15555354740129,0.48102778437821,1.46758910184218,1.63904642435021,1.23640603169977,2.13689860392727,0.80857261202531,0.764284870363944,1.99496379495684,0.46173395493386,1.82959055250295,1.6259230593725
32.5,0.258537335667553,0.437588014355055,0.885534029691712,0.222692645988811,1.53551243797173,0.320523075502542,0.786659640842463,2.09069624465964,1.47734101474314,1.53277736788413,1.0679446439249,1.67287804251699,1.34263916206066,2.34605821046216,0.690997098650288,0.293552895488508,2.22265149372463,0.894022957195132,2.11033329766593,2.14094897979868,1.34314226482238,2.11430735281481,0.971327094821174,1.87238251202629,2.08796566482452,2.11148916724442,1.48781567200306,0.272847035882798,1.84040738084234,2.0705119823709,1.87751417971317,1.86889022044859,0.847220950120673,2.32078752720039,1.45881492663688,1.6281662852895,1.63846280923058,1.47566903538627,1.47434056370505,2.20616508128285,0.040391863136082,1.83031327700431,0.419486504066955,0.590599470615128,1.51830099378417,2.02314396155159,1.34787095925294,1.97886835586402,0.619693628244555,0.691362477369517,2.24792124051608,0.508901929570318,2.10270021000709,1.80680297875829
33,0.191977588997375,0.508125145099809,0.821219171687587,0.24693030444355,1.57082751946315,0.369801270585804,0.857701683067007,1.94367568127204,1.7449884746544,1.99042386741185,1.24415145822021,1.76217037001634,1.39324750978279,2.44968369426344,0.799427525755952,0.638619862540247,2.14786507590224,0.957236128104393,1.93183895733952,2.0628941543347,1.69751482416669,2.41671950885801,0.962128127324641,2.01917684282353,2.32234420251452,2.20156783119027,1.45516307542831,0.0545458322751485,1.79072356105343,2.2804510581675,2.35807355623119,2.12641042825248,0.991176423279382,2.60782042824237,1.18685349367737,1.60885273223157,2.05246946589952,1.63614553015437,1.620748626106,2.58075776329387,0.0962980237779257,1.91117184021572,0.782231536373105,0.886348970106516,1.5812921877992,1.81285139266673,1.24396361625485,1.61050822310045,0.32369250119494,0.567220494963802,2.15914410658868,0.410833309359365,2.31021342695931,1.78891789673524
33.5,0.19329353215847,0.400390213105634,0.818891592001238,0.37153337976578,1.4654342395242,0.369481357234903,0.69707260819408,1.35977710029052,1.41460811072996,1.91250921921467,1.08290574043625,1.4966159080076,1.41900684815966,1.95157286495583,0.697603575289773,0.790589477698612,1.69623389089747,0.781808051254398,1.56286953490327,1.8673160192607,1.49093173811434,1.92831164965023,0.721201214099056,1.74190499902734,1.90203056783607,1.81126517363146,1.31800536738045,0.270217727152473,1.31084024718468,1.73215404831244,1.98093898341485,1.78552581296165,0.893628616724743,2.33112874537237,0.892368901772709,1.06589209379692,1.70875520961189,1.46309775376754,1.47544477789758,1.96825313655874,0.125088274564749,1.52888566759757,1.08072280472344,0.789887607126381,1.15941265136434,1.24020110990466,0.859995320300148,0.885308610758061,0.0767411225672049,0.48233075229199,1.53926022921026,0.351837151668605,1.92959620862216,1.4096159869673
34,0.034673679341703,0.377216887401932,0.588526116322992,0.302298017724579,0.995212178019324,0.26899107554904,0.513097774621393,0.620282461358896,1.03791065085867,1.57429601635865,0.985512762487583,1.14402140671951,1.01029823418023,1.24024004135409,0.660819767347699,1.03909008712049,1.26840043862279,0.678830894422981,0.996029165943482,1.3807635940816,1.30135276085943,1.3741617299592,0.492468004293332,1.24002177529945,1.30339170908638,1.03515330437934,0.862086144479049,0.285643947763284,0.70346643791564,1.22566415051327,1.54536739569418,1.32105876557371,0.535848172755606,1.54934891689111,0.38210508355201,0.543707761160283,1.36513621691476,1.0772094122747,1.03235272391891,1.30843949793203,0.137846992324844,0.880534689822854,1.05188716326202,0.73654569816939,0.77320609651118,0.821946770082605,0.677132217803522,0.578716895214844,0.456268250145436,0.400846675140582,1.01335630170681,0.210694087679913,1.22153377666639,0.991146013816064
34.5,0.0579669359104973,0.104514622335604,0.614960598314903,0.434448329683907,0.451920054437405,0.171908223512889,0.475857130924411,0.391209219271222,0.541657289849105,0.953324673775697,0.513710456283125,0.513771115522194,0.799250671113711,0.655884316206562,0.626481241086175,1.01698016109513,0.956349438895638,0.641005310806083,0.55715058962626,0.826210513987452,0.79575389528756,0.571832560845293,0.371257634062211,0.539049333433059,0.477129955794111,0.292774315714095,0.381145396935471,0.428769278267214,0.0745355885997757,0.364976067627121,0.768216484243078,0.693590171798599,0.257577278622859,0.795356889093955,0.360324097668938,0.513750893657968,0.656268274272577,0.612909657363272,0.638257581057863,0.632893137944099,0.178450819501307,0.47561083192196,0.929777698905454,0.473066484108076,0.0705936498505885,0.765600967913338,0.819967560946148,1.19586832131534,0.816223312648621,0.653289819032148,0.922867460078541,0.137382180268597,0.675173146515294,1.0059289146132
35,0.166070338166783,0.0745899165634849,0.626384278730394,0.39926342015575,0.40879523991055,0.150378388643187,0.516781077621287,1.30435971656036,0.609722692044949,0.191230849377509,0.301626082255704,0.165654135409848,0.389712735976613,0.914680394875341,0.589520122525587,0.883660216499722,1.21437301433358,0.644562975488777,0.57810400168623,0.32992418249006,0.462037292010328,0.227467645944738,0.533279601737326,0.353786362909414,0.419453132970811,0.754040864448999,0.23016304191086,0.417305502035042,0.662626797204346,0.5019606372403,0.212570373374822,0.601952019537384,0.200970624506139,0.614195960507293,0.928912387948883,1.09573329061851,0.354638990043478,0.35269967123982,0.317246634862311,0.511895302604648,0.232470232987949,0.823026788147586,0.734615226816041,0.541108443932671,0.470666235168087,1.25026336767308,1.07005038136848,1.76973961929969,0.976187927838429,0.744581513115367,1.37936472156026,0.198821450821175,1.02046082710024,1.26159889368592
35.5,0.0679174177454758,0.369616173626939,0.554006239971876,0.327384618863377,1.02062795293905,0.156671324173125,0.626241742907764,1.8918016467653,1.06068268380844,0.557655399139599,0.543180526438324,0.706726543566957,0.3728332443544,1.58142159615482,0.531844781729478,0.68211273225332,1.73456811572502,0.664137879594807,0.951438574214903,0.673944464009267,0.309982027433485,0.942970553876657,0.795308006066416,1.12621442160403,1.30839507967842,1.40438706271233,0.742865984420287,0.454628824719217,1.26134004186244,1.20839384012313,0.915638263848777,1.25166637311605,0.404205728960377,1.28317139148592,1.31796777085142,1.54933415031306,1.09959225056909,0.787205334940772,0.636464896688065,1.21951778233707,0.154137118996917,1.27323660067504,0.366964923797089,0.426127005748119,1.04437453773552,1.87520886442211,1.50774257082824,2.2105865706213,0.989709764662101,0.810579265072554,2.01245717748241,0.227208853784884,1.64553289708978,1.62485979109475
36,0.160542221132649,0.294491384023892,0.969722140031511,0.477270488254394,1.36473072080753,0.206931699255085,0.820383597999549,2.44898863650842,1.38832585392021,1.32685976048302,0.898422129743144,1.0418734095531,0.847209939511352,2.20559662463459,0.553598208587425,0.451247476272451,2.14592845739102,0.775860753025329,1.52370261897351,1.13996874043869,0.48846133960676,1.54630392856307,1.03746249700214,1.68493685225787,2.02076419691515,2.04084774947534,1.25597022527669,0.331722119185399,1.74442992107099,1.89003849313875,1.6420001644943,1.75540306266864,0.84449632977787,2.01771340188728,1.48325484867383,1.98051861289145,1.69565554229005,1.28814486145338,1.21133106884467,1.94386818049279,0.137043796793228,1.85405892116841,0.085100511244257,0.558129551402029,1.39508425958215,2.05196806565099,1.7347021854683,2.55397412023706,1.00315425538533,0.959048423198781,2.55139979952822,0.39292160671318,2.34466559072143,2.09881669019448
