sample,taps_from_fp,excess_path_m,reflector_off_m,amplitude,amplitude_norm
829,80.6563,24.219473764,12.4548200777318,796.79,0.93629
830,81.6563,24.519753764,12.6050186425565,1322.71,1.5543
831,82.6563,24.820033764,12.7552158283945,1713.38,2.01337
832,83.6563,25.120313764,12.9054116833928,1528.28,1.79586
833,84.6563,25.420593764,13.0556062534828,1253.79,1.47332
834,85.6563,25.720873764,13.2057995825056,1269.2,1.49142
835,86.6563,26.021153764,13.3559917123302,1273.18,1.49609
836,87.6563,26.321433764,13.5061826829626,1290.5,1.51645
837,88.6563,26.621713764,13.6563725326489,1269.74,1.49206
838,89.6563,26.921993764,13.8065612979704,1312.42,1.54221
839,90.6563,27.222273764,13.9567490139337,1271.03,1.49358
840,91.6563,27.522553764,14.1069357140545,1077.52,1.26618
841,92.6563,27.822833764,14.2571214304359,751.64,0.88324
842,93.6563,28.123113764,14.4073061938421,852.58,1.00185
843,94.6563,28.423393764,14.5574900337678,1133.05,1.33144
844,95.6563,28.723673764,14.7076729785026,1204.74,1.41568
845,96.6563,29.023953764,14.8578550551923,791.36,0.92992
846,97.6563,29.324233764,15.0080362898958,1001.96,1.17739
847,98.6563,29.624513764,15.1582167076393,1045.3,1.22832
