taps_from_fp,offset_m,background_mean,phase2_mean,background_sd,phase2_sd,sd_diff,sd_diff_pos,sd_diff_thresh,detected,n_background,n_phase2
-40,NaN,0.562293245562499,0.50689831013402,0.0948274709633181,0.103846628011318,0.00901915704799956,0.00901915704799956,0.0357520554761453,0,96,97
-39.5,NaN,0.566300481239582,0.49244590156701,0.0970951783979324,0.11200065811549,0.014905479717558,0.014905479717558,0.0366070313727118,0,96,97
-39,NaN,0.540820510125002,0.464139888752578,0.0958545372389856,0.112174549082644,0.0163200118436585,0.0163200118436585,0.036139282195284,0,96,97
-38.5,NaN,0.442887486208336,0.383767940494847,0.0942554011754846,0.102876212542727,0.00862081136724202,0.00862081136724202,0.0355363725038686,0,96,97
-38,NaN,0.314767965687503,0.27774077502062,0.0882847452029605,0.0887862304074659,0.000501485204505422,0.000501485204505422,0.033285303046989,0,96,97
-37.5,NaN,0.261943944645836,0.215276733546394,0.0763719471811691,0.0768971860945093,0.000525238913340192,0.000525238913340192,0.0287939145134284,0,96,97
-37,NaN,0.290440426583334,0.22669063202062,0.0810228984368364,0.0790048402831536,-0.00201805815368283,0,0.0305474260815455,0,96,97
-36.5,NaN,0.2946198864375,0.232049147103093,0.0849910723411165,0.0864752137577983,0.00148414141668188,0.00148414141668188,0.0320435154755112,0,96,97
-36,NaN,0.235050610916668,0.184835145680411,0.0655900925119303,0.0617727950980838,-0.00381729741384648,0,0.0247289166562202,0,96,97
-35.5,NaN,0.185360568052085,0.1623853695567,0.0488625059718669,0.045965349584115,-0.00289715638775186,0,0.0184222462801463,0,96,97
-35,NaN,0.201401370614583,0.20519154798969,0.0671283375654925,0.0719655789780466,0.00483724141255408,0.00483724141255408,0.0253088690891195,0,96,97
-34.5,NaN,0.268975487177082,0.27165816771134,0.082421421178849,0.0881972302973172,0.00577580911846826,0.00577580911846826,0.0310747001103596,0,96,97
-34,NaN,0.331197941135416,0.31948750029897,0.0918444948384432,0.0903288337993849,-0.00151566103905831,0,0.0346274074515049,0,96,97
-33.5,NaN,0.338212924135417,0.320690016536083,0.0940434899600681,0.0940683992448864,2.49092848183252e-05,2.49092848183252e-05,0.0354564772851875,0,96,97
-33,NaN,0.290790559312499,0.263957163536082,0.0831017106423246,0.0796166718997754,-0.0034850387425492,0,0.0313311842957011,0,96,97
-32.5,NaN,0.274500008249999,0.243803701577317,0.0718860771681662,0.0881362888945627,0.0162502117263965,0.0162502117263965,0.0271026422277245,0,96,97
-32,NaN,0.401061635999994,0.387311008185561,0.0831121174054311,0.0907274033630046,0.00761528595757355,0.00761528595757355,0.0313351078757368,0,96,97
-31.5,NaN,0.666140542833325,0.66383450279381,0.0919370059709625,0.12476832974875,0.0328313237777874,0.0328313237777874,0.0346622861961175,0,96,97
-31,NaN,0.898224099624997,0.909333828907216,0.0907240487243357,0.145544814007641,0.0548207652833051,0.0548207652833051,0.0342049744663934,0,96,97
-30.5,NaN,0.920710965520833,0.951327909680414,0.107696874934227,0.145423324029842,0.0377264490956147,0.0377264490956147,0.0406041056261577,0,96,97
-30,NaN,0.756990824593754,0.767762671680415,0.10449722898246,0.111127008344157,0.0066297793616972,0.0066297793616972,0.0393977682809821,0,96,97
-29.5,NaN,0.589018517104171,0.547280969597941,0.0961144191878854,0.107954769974726,0.011840350786841,0.011840350786841,0.0362372634422784,0,96,97
-29,NaN,0.501158935187503,0.415266980268043,0.102535974652297,0.0972280201267296,-0.00530795452556743,0,0.0386583319878647,0,96,97
-28.5,NaN,0.429873640812504,0.335024849969076,0.107415141458898,0.101540336425723,-0.00587480503317558,0,0.0404978858700351,0,96,97
-28,NaN,0.422478989635417,0.360080575226804,0.0979116116292153,0.110734549235438,0.0128229376062223,0.0128229376062223,0.0369148447719396,0,96,97
-27.5,NaN,0.522377747385414,0.481405176969071,0.095164741262373,0.108692211665066,0.0135274704026933,0.0135274704026933,0.0358792138440715,0,96,97
-27,NaN,0.573554125062501,0.527967511257733,0.103973655085956,0.094944166176158,-0.00902948890979803,0,0.0392003693331508,0,96,97
-26.5,NaN,0.485357049770836,0.476130766628866,0.0952534178655448,0.0948147673037578,-0.000438650561786977,0,0.0359126468862462,0,96,97
-26,NaN,0.363554377020834,0.433631681896904,0.0748523553233009,0.0914045377299663,0.0165521824066655,0.0165521824066655,0.0282209947481779,0,96,97
-25.5,NaN,0.287714977656249,0.435640069474225,0.0861639269983341,0.102637853940026,0.0164739269416916,0.0164739269416916,0.0324857076413924,0,96,97
-25,NaN,0.233740557052086,0.400248859072166,0.0868627253271078,0.111164828726116,0.0243021033990087,0.0243021033990087,0.0327491700786287,0,96,97
-24.5,NaN,0.216840191531252,0.289604088154642,0.0584416793041542,0.0914563524015929,0.0330146730974388,0.0330146730974388,0.0220338066530263,0,96,97
-24,NaN,0.272430542822916,0.22348340015464,0.0870235494396737,0.0636157442193382,-0.0234078052203355,0,0.0328098043287669,0,96,97
-23.5,NaN,0.348778249635416,0.256041699554638,0.103044527050761,0.0882867931391716,-0.0147577339115896,0,0.0388500674984474,0,96,97
-23,NaN,0.379357675333334,0.298580902121649,0.100342186361277,0.104360112879686,0.00401792651840852,0.00401792651840852,0.0378312252445688,0,96,97
-22.5,NaN,0.353738678718751,0.290234802472164,0.092755297029102,0.0997331132029454,0.00697781617384334,0.00697781617384334,0.0349708000371916,0,96,97
-22,NaN,0.315204850364582,0.261863239760823,0.0846418816381419,0.0774537263016566,-0.00718815533648527,0,0.0319118628514596,0,96,97
-21.5,NaN,0.332338728843748,0.293352561874226,0.0843734856801881,0.0841873910895198,-0.000186094590668318,0,0.0318106716346017,0,96,97
-21,NaN,0.3754746080625,0.34839546312165,0.0899023588974584,0.0947117010440219,0.00480934214656357,0.00480934214656357,0.0338951792142764,0,96,97
-20.5,NaN,0.338182233958335,0.319609871400002,0.0915903034135451,0.0822981137682429,-0.00929218964530225,0,0.0345315716580138,0,96,97
-20,NaN,0.245651334968751,0.237321261863919,0.0857443086144777,0.0678484279910073,-0.0178958806234704,0,0.0323275022227933,0,96,97
-19.5,NaN,0.22388691540625,0.193688422936084,0.0673796416854684,0.0632251908887131,-0.00415445079675525,0,0.0254036163047469,0,96,97
-19,NaN,0.268604202510416,0.210792559317526,0.0775812598974594,0.0684022021025653,-0.00917905779489406,0,0.0292498521745471,0,96,97
-18.5,NaN,0.304441314979167,0.264763705142268,0.0841661773291802,0.0794495233695817,-0.00471665395959857,0,0.031732511797683,0,96,97
-18,NaN,0.335426477875,0.360726669183503,0.0913550930541326,0.0998641389412106,0.00850904588707797,0.00850904588707797,0.0344428921463401,0,96,97
-17.5,NaN,0.3889478233125,0.48314856436907,0.0979802051133448,0.111257057840894,0.0132768527275489,0.0132768527275489,0.0369407060337131,0,96,97
-17,NaN,0.423283716604167,0.544967037441238,0.103248756105892,0.110655781327098,0.00740702522120526,0.00740702522120526,0.038927066372663,0,96,97
-16.5,NaN,0.370990275875001,0.483436462162888,0.0956996355552858,0.109462915412997,0.0137632798577116,0.0137632798577116,0.0360808808319161,0,96,97
-16,NaN,0.265409555197918,0.333953892162887,0.0772096165955302,0.082218203408198,0.00500858681266772,0.00500858681266772,0.029109734423721,0,96,97
-15.5,NaN,0.17634335578125,0.208680145832989,0.0448385486347706,0.0565415811307778,0.0117030324960073,0.0117030324960073,0.0169051252972914,0,96,97
-15,NaN,0.131893115260417,0.165398996791752,0.0420738897603338,0.0542305268914863,0.0121566371311525,0.0121566371311525,0.0158627877083272,0,96,97
-14.5,NaN,0.124272377500001,0.172887631760824,0.0446445540545005,0.0707449690537181,0.0261004149992176,0.0261004149992176,0.0168319850466296,0,96,97
-14,NaN,0.129080434104168,0.209921787585565,0.0349535691304041,0.0742535955624955,0.0393000264320914,0.0393000264320914,0.0131782692287859,0,96,97
-13.5,NaN,0.15418941075,0.270699202503091,0.060505132373959,0.0933851421453367,0.0328800097713778,0.0328800097713778,0.0228117741330682,0,96,97
-13,NaN,0.189387366770832,0.314541552513402,0.0816008124852003,0.115272305830964,0.033671493345764,0.033671493345764,0.0307653124693997,0,96,97
-12.5,NaN,0.204780058645833,0.295209997482476,0.0842628361383763,0.115414909136407,0.0311520729980307,0.0311520729980307,0.031768954308208,0,96,97
-12,NaN,0.201233915656249,0.235587285688662,0.0790560777486949,0.0958228281893617,0.0167667504406668,0.0167667504406668,0.0298058911482637,0,96,97
-11.5,NaN,0.186907938062499,0.188594057534021,0.0692097694596777,0.0717124105792114,0.00250264111953373,0.00250264111953373,0.0260936149838984,0,96,97
-11,NaN,0.166383168802084,0.163610407606185,0.0575639097779261,0.0708420357778514,0.0132781259999253,0.0132781259999253,0.021702868112979,0,96,97
-10.5,NaN,0.158407573854167,0.156757402977319,0.044193352121878,0.0562822412902579,0.0120888891683799,0.0120888891683799,0.0166618719310715,0,96,97
-10,NaN,0.215117043072915,0.198058526843297,0.0739400318316325,0.0518927502649287,-0.0220472815667037,0,0.0278770285983379,0,96,97
-9.5,NaN,0.369221254499998,0.318932482358762,0.0925090784536565,0.0838866031840459,-0.00862247526961056,0,0.0348779701844162,0,96,97
-9,NaN,0.532606326875,0.472626597430928,0.0971555927826711,0.0959623837022784,-0.00119320908039267,0,0.0366298089329778,0,96,97
-8.5,NaN,0.600393900791666,0.55959910282268,0.104021903858342,0.10345422785282,-0.000567676005521281,0,0.0392185601882844,0,96,97
-8,NaN,0.542127347989584,0.521816876317527,0.099095485327373,0.104392462389646,0.00529697706227268,0.00529697706227268,0.037361191360152,0,96,97
-7.5,NaN,0.372959484364585,0.380758716080413,0.0875886881129934,0.0931926657377679,0.00560397762477449,0.00560397762477449,0.0330228741174577,0,96,97
-7,NaN,0.219688681385417,0.233964893152577,0.0640715771054649,0.0683095642736972,0.00423798716823227,0.00423798716823227,0.0241564027369749,0,96,97
-6.5,NaN,0.175839610583334,0.162511022760824,0.0611359142301423,0.0521177865634088,-0.00901812766673342,0,0.023049592854653,0,96,97
-6,NaN,0.170752686958334,0.146303553647423,0.0663932076711801,0.064962557651294,-0.00143065001988604,0,0.0250317088475077,0,96,97
-5.5,NaN,0.157526433104167,0.140133561090722,0.0494705470073458,0.0552076055317146,0.00573705852436877,0.00573705852436877,0.0186514912089773,0,96,97
-5,NaN,0.164078016322917,0.143845716131959,0.0628414106790445,0.0576035342713841,-0.00523787640766037,0,0.0236926027655585,0,96,97
-4.5,NaN,0.177466153520833,0.14930634025567,0.0768090936060662,0.0691923804862949,-0.00761671311977129,0,0.0289587283914677,0,96,97
-4,NaN,0.166569269958333,0.141458675276289,0.0657806364245863,0.0625087325390319,-0.00327190388555434,0,0.0248007559288141,0,96,97
-3.5,NaN,0.145773665239583,0.13578405113402,0.0374012093771536,0.0451076237171315,0.00770641433997787,0.00770641433997787,0.0141010837781825,0,96,97
-3,NaN,0.161389231697916,0.152321145020618,0.0520362574712456,0.0507742744336052,-0.00126198303764039,0,0.0196188208436204,0,96,97
-2.5,NaN,0.233985655156249,0.207735458958763,0.078458546423843,0.0744078156445448,-0.00405073077929825,0,0.0295806086129623,0,96,97
-2,NaN,0.349697936541666,0.341702288164947,0.0953649203235579,0.171253963735519,0.0758890434119615,0.0758890434119615,0.0359546857809263,0,96,97
-1.5,NaN,0.705233657072918,0.714505217536083,0.138443573230413,0.332928951562729,0.194485378332317,0.194485378332317,0.0521962914350437,0,96,97
-1,NaN,1.88082452145832,1.95263798011339,0.380987969617154,0.512168505714741,0.131180536097588,0.131180536097588,0.143640897380522,0,96,97
-0.5,NaN,4.94559690131249,4.94860903084536,0.390707211116662,0.537029902178647,0.146322691061985,0.146322691061985,0.147305266552731,0,96,97
0,NaN,9.53544032802081,9.55113807991753,0.238853647818851,0.220567277336153,-0.0182863704826981,0,0.0900531120438986,0,96,97
0.5,NaN,14.117186689677,14.1759867776495,0.468009046896896,0.561796469476022,0.0937874225791263,0.0937874225791263,0.176449769650276,0,96,97
1,NaN,17.2464443519167,17.2362323496186,0.334566772496377,0.57077354926591,0.236206776769533,0.236206776769533,0.126139078573469,0,96,97
1.5,NaN,18.5212699983229,18.5376294597835,0.165098496703326,0.412375766911067,0.247277270207741,0.247277270207741,0.0622457875677059,0,96,97
2,NaN,18.7969116915938,18.8069494173918,0.143460045634543,0.26585640273924,0.122396357104697,0.122396357104697,0.0540876125666216,0,96,97
2.5,0.284087143144494,18.1582170576771,18.2011712048041,0.267351594700312,0.27886399401815,0.0115123993178384,0.0115123993178384,0.100797468795291,0,96,97
3,0.415550261219988,16.3265497070313,16.2594080142887,0.439568768212106,0.478108338073443,0.0385395698613369,0.0385395698613369,0.165727155085463,0,96,97
3.5,0.525289961925792,14.1352637874584,13.9860128139278,0.973034904569242,0.990016832592832,0.0169819280235897,0.0169819280235897,0.366855696297566,0,96,97
4,0.624858446690128,13.8111607903854,13.8446772959381,0.841568517965415,0.871564730733265,0.0299962127678496,0.0299962127678496,0.317289958654657,0,96,97
4.5,0.718496779742262,15.3615372680208,15.4525606502268,0.615180645926023,0.672854736663491,0.0576740907374689,0.0576740907374689,0.231936719998638,0,96,97
5,0.80826862886048,15.3506039848542,15.1767506182578,0.751811448411032,0.7436826842827,-0.0081287641283323,0,0.283449556738572,0,96,97
5.5,0.895337779890919,11.7640789068854,11.5293361568041,1.18948193455211,1.20204308861851,0.0125611540664039,0.0125611540664039,0.448461017466447,0,96,97
6,0.980424557831963,8.56623833979167,8.50008142508245,1.79066193617133,1.82481459128803,0.0341526551167035,0.0341526551167035,0.675119184669428,0,96,97
6.5,1.06400465078871,9.9350961058854,9.76945028084535,1.36879226901225,1.25626034692551,-0.112531922086742,0,0.516064982435049,0,96,97
7,1.14640764564792,12.3513907292083,12.0082103699588,0.806155831597725,0.824124216762399,0.017968385164674,0.017968385164674,0.303938592065257,0,96,97
7.5,1.22787055217559,10.8898926377917,10.6726139298041,0.69275417315803,0.749771841217966,0.0570176680599365,0.0570176680599365,0.261183656787154,0,96,97
8,1.30856895332267,7.08840163110418,6.95872232413401,1.01204211863879,0.957271753113355,-0.0547703655254351,0,0.381562279392288,0,96,97
8.5,1.38863613956284,5.39592321296877,5.19373220581443,1.1742664555581,1.2980920844801,0.123825628922007,0.123825628922007,0.442724445104411,0,96,97
9,1.46817538475483,6.36273728692708,6.26837024902062,0.648648016707871,0.629591799135987,-0.0190562175718845,0,0.24455465955432,0,96,97
9.5,1.54726810944322,6.94917542363541,6.98107932079382,0.40575116056336,0.49928325160227,0.0935320910389101,0.0935320910389101,0.152977168478774,0,96,97
10,1.62597947539322,5.76189462787503,5.70574653238145,0.244395989758962,0.246817097990865,0.00242110823190331,0.00242110823190331,0.0921426976302028,0,96,97
10.5,1.70436231949078,3.80437545010422,3.67648876589692,0.245486881573801,0.28596194009676,0.0404750585229593,0.0404750585229593,0.0925539879903314,0,96,97
11,1.78245998204728,2.30351592870836,2.21891469206186,0.18399018612824,0.184479728990024,0.000489542861784625,0.000489542861784625,0.0693683726318894,0,96,97
11.5,1.86030838005423,1.5177297519896,1.4977180145464,0.0971504700587252,0.110887851731246,0.013737381672521,0.013737381672521,0.0366278775526632,0,96,97
12,1.93793755317348,0.978657858875013,1.01695072139176,0.0817751986087186,0.113380826276816,0.0316056276680974,0.0316056276680974,0.0308310598978502,1,96,97
12.5,2.01537283421703,0.690065023583343,0.687516020649488,0.20374160738837,0.216393835212052,0.0126522278236816,0.0126522278236816,0.0768150956273605,0,96,97
13,2.09263574747255,0.932429032718735,0.907576378371126,0.156944022820967,0.172879429194265,0.0159354063732979,0.0159354063732979,0.0591713704219228,0,96,97
13.5,2.16974470666482,1.67360682279164,1.64390689941236,0.133240564449135,0.141245139426175,0.0080045749770396,0.0080045749770396,0.050234641960462,0,96,97
14,2.24671556330569,2.34342056380207,2.31038581674227,0.14718134355984,0.144831803852198,-0.00234953970764221,0,0.0554906242521273,0,96,97
14.5,2.32356204188741,2.56497335833333,2.54928868081443,0.117940155814113,0.140088263043709,0.0221481072295958,0.0221481072295958,0.044466049243921,0,96,97
15,2.40029608848575,2.49579397383334,2.47563019859794,0.100594289567895,0.115779329096093,0.0151850395281981,0.0151850395281981,0.0379262737335471,0,96,97
15.5,2.47692815238957,2.33348640314584,2.30950934915464,0.0990209588010285,0.12372536780328,0.0247044090022513,0.0247044090022513,0.0373330932101407,0,96,97
16,2.55346741541771,2.11345864710417,2.08568016926804,0.119198415648323,0.1712155817912,0.0520171661428776,0.0520171661428776,0.044940441051897,1,96,97
16.5,2.62992198000245,1.70903952605209,1.76791873706185,0.112116027388008,0.281224610814815,0.169108583426807,0.169108583426807,0.0422702239153003,1,96,97
17,2.70629902449822,1.14082157440626,1.5671642252411,0.105470448573359,0.393631488298465,0.288161039725106,0.288161039725106,0.0397646936081138,1,96,97
17.5,2.78260493223526,0.637562390937512,1.83106424523977,0.15331289508948,0.422515480514117,0.269202585424637,0.269202585424637,0.0578023548953217,1,96,97
18,2.85884539938766,0.439468112656249,2.57335492466111,0.127454223658514,0.540218690157936,0.412764466499422,0.412764466499422,0.0480530634068151,1,96,97
18.5,2.93502552563006,0.568623555635412,3.4247835836804,0.0951628862823822,0.747073645836956,0.651910759554573,0.651910759554573,0.0358785144755566,1,96,97
19,3.01114989072281,0.804989943687495,3.86671616516362,0.0892632286436997,0.915532834254948,0.826269605611249,0.826269605611249,0.0336542129620213,1,96,97
19.5,3.0872226195239,1.08101963697916,3.52812084020353,0.0965431041878275,1.08818646215958,0.991643357971748,0.991643357971748,0.0363988871758234,1,96,97
20,3.16324743742882,1.36522237130208,2.68209754890325,0.10233054323474,1.04028779859644,0.937957255361705,0.937957255361705,0.0385808797964012,1,96,97
20.5,3.2392277178519,1.60870327448958,2.14798357895346,0.100037259508759,0.601651766999704,0.501614507490945,0.501614507490945,0.0377162610718806,1,96,97
