taps_from_fp,excess_path_m,reflector_off_m,amplitude_norm_mean,amplitude_norm_sd,n_frames
-35.5,-10.65994,NaN,0.149449278105263,0.0588374502159873,38
-35,-10.5098,NaN,0.151490490578947,0.0631978514268661,38
-34.5,-10.35966,NaN,0.15232677,0.0613285481325824,38
-34,-10.20952,NaN,0.153679344578947,0.0650942195355286,38
-33.5,-10.05938,NaN,0.163472697815789,0.069269990462902,38
-33,-9.90924,NaN,0.184247782421053,0.0799245051926267,38
-32.5,-9.7591,NaN,0.2421481665,0.091460173899548,38
-32,-9.60896,NaN,0.337760757657895,0.096074660547968,38
-31.5,-9.45882,NaN,0.443354958052633,0.100445392153677,38
-31,-9.30868,NaN,0.533393376078948,0.102396547502943,38
-30.5,-9.15854,NaN,0.574427612394736,0.0954003616260949,38
-30,-9.0084,NaN,0.586484072289473,0.0885743626586833,38
-29.5,-8.85826,NaN,0.595103716684211,0.0885759516349035,38
-29,-8.70812,NaN,0.598587353394737,0.0957062484570842,38
-28.5,-8.55798,NaN,0.590117772736842,0.105625351225562,38
-28,-8.40784,NaN,0.566726652157895,0.117198864411042,38
-27.5,-8.2577,NaN,0.530579588605263,0.127787698769929,38
-27,-8.10756,NaN,0.481173192578947,0.13915896732631,38
-26.5,-7.95742,NaN,0.409543698052631,0.137262537919593,38
-26,-7.80728,NaN,0.333645234631578,0.124201261473776,38
-25.5,-7.65714,NaN,0.267108598315789,0.106745694825144,38
-25,-7.507,NaN,0.209290418421053,0.0935192127240944,38
-24.5,-7.35686,NaN,0.169835226052632,0.071052769920687,38
-24,-7.20672,NaN,0.146739472078948,0.0496275443144461,38
-23.5,-7.05658,NaN,0.143937249421052,0.0379078112363897,38
-23,-6.90644,NaN,0.154511106131579,0.0615246782621819,38
-22.5,-6.7563,NaN,0.178559892815789,0.0897948477866469,38
-22,-6.60616,NaN,0.202138614578947,0.098823967989791,38
-21.5,-6.45602,NaN,0.193473227736842,0.0925017116680326,38
-21,-6.30588,NaN,0.165829160894738,0.0718141623067101,38
-20.5,-6.15574,NaN,0.145871917973685,0.0498292766057855,38
-20,-6.0056,NaN,0.135813107868421,0.0408882773190087,38
-19.5,-5.85546,NaN,0.129900522842105,0.0407172037413443,38
-19,-5.70532,NaN,0.126191148763158,0.0395723831682953,38
-18.5,-5.55518,NaN,0.125421968236842,0.0392837326509652,38
-18,-5.40504,NaN,0.125885525868421,0.0472597885479979,38
-17.5,-5.2549,NaN,0.127498007105263,0.0525042255389123,38
-17,-5.10476,NaN,0.130190191368421,0.0457241098593073,38
-16.5,-4.95462,NaN,0.130993559,0.0403790000780608,38
-16,-4.80448,NaN,0.129667366763158,0.0391573520117345,38
-15.5,-4.65434,NaN,0.130906341052632,0.0414215592050577,38
-15,-4.5042,NaN,0.134898500552631,0.0440121294637606,38
-14.5,-4.35406,NaN,0.140479538578947,0.0536868864911408,38
-14,-4.20392,NaN,0.148848071289473,0.0672823022958997,38
