taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4,transition_4_to_5,transition_5_to_6,transition_6_to_7,transition_7_to_8,transition_8_to_9,transition_9_to_10,transition_10_to_11,transition_11_to_12,transition_12_to_13,transition_13_to_14,transition_14_to_15,transition_15_to_16,transition_16_to_17,transition_17_to_18,transition_18_to_19,transition_19_to_20,transition_20_to_21,transition_21_to_22,transition_22_to_23,transition_23_to_24,transition_24_to_25,transition_25_to_26,transition_26_to_27,transition_27_to_28,transition_28_to_29,transition_29_to_30,transition_30_to_31,transition_31_to_32,transition_32_to_33,transition_33_to_34,transition_34_to_35,transition_35_to_36,transition_36_to_37,transition_37_to_38
-44,0.176906717286775,0.147662411524703,0.135133173333052,0.111351141422355,0.16171030821294,0.103793447156637,0.134275901618914,0.0975917279058515,0.0980947900283818,0.0446371011337168,0.0571180673330959,0.0876759374057435,0.0452065749818151,0.134609113439174,0.117205310484546,0.0998042510630068,0.0858760734131349,0.185363594429593,0.101245238991712,0.121025550719075,0.128055183423872,0.0768973208361926,0.163522527365738,0.0962024500078583,0.0733266473801748,0.0187562507125418,0.0482024952221982,0.112823002867174,0.0614680546459003,0.0604755401469725,0.176032447967015,0.0288130121665307,0.23017884275294,0.0891082727088611,0.107743127415331,0.00861266211433619,0.171422835327079
-43.5,0.123273136138477,0.122044975777541,0.133670137713179,0.10000377851504,0.165448569199304,0.136188281175358,0.150408528862778,0.134857879028936,0.0933655291609565,0.0150635108484034,0.0391588608080523,0.123666070067354,0.0951942664684352,0.0950437636208763,0.102063901711742,0.100761231090286,0.0961965835292189,0.176517397786837,0.137654100736109,0.0742361115820402,0.0920540235158063,0.103237447340496,0.174380818991944,0.111292131166075,0.0825542320014973,0.0172732821748009,0.0218392144482456,0.0958501425978204,0.0539430659754133,0.0433421363150769,0.130241306442225,0.052133818286866,0.210878533828385,0.114200447993992,0.126312918886483,0.0304206654402464,0.130004225413179
-43,0.0875912060300829,0.0935695241489524,0.130408831203368,0.0539024977393689,0.156777530269625,0.15120203291838,0.189998968937713,0.178811440738752,0.0821043969563806,0.0365018968663,0.0339454034052166,0.0894642948969091,0.137798247215103,0.106068703684505,0.11372104399694,0.0929342283340882,0.129345918876018,0.184881886900249,0.183148379649028,0.0340139109349794,0.106775156457919,0.0881177412678032,0.166870290204082,0.107996279174558,0.0871685143580624,0.0139237628598343,0.0291358382014716,0.0632731387534434,0.0301012121782659,0.0446996330566855,0.107356446275714,0.0103183920046202,0.123859858646259,0.109806632486897,0.161988059136121,0.0707689094930752,0.103900100208302
-42.5,0.105015424863948,0.109482434166176,0.146701145779717,0.0353641592097,0.150133035083202,0.136302269376329,0.201525309264068,0.214682903317889,0.090416956173472,0.0447043003887102,0.139119290307037,0.141871137723358,0.173228847666968,0.112513491842941,0.0962629503864911,0.0838392954889109,0.103939445407031,0.171195786231836,0.21086058624996,0.0191662042058513,0.128084676557556,0.0666932758297718,0.164350724195925,0.0922105059483719,0.0956082098894365,0.01647639478983,0.0299734123007961,0.0891085341867523,0.0106680776288582,0.101564184636174,0.145184359496246,0.029792770648168,0.0812063667980277,0.110158057492896,0.162397974606988,0.0674431299077838,0.0945002813502258
-42,0.128798254346668,0.117287111848905,0.120876795847465,0.0682737052855161,0.158654965141299,0.137092403503738,0.19865013590229,0.253339666533775,0.120145189840743,0.034348835349305,0.185189078897884,0.176056272310026,0.147806959830917,0.102780906688389,0.0593020541239119,0.100610684406103,0.0663281477231392,0.120757082472483,0.196326058351702,0.0795475062708661,0.146408573843042,0.0251505765538355,0.148699459670247,0.08815383044524,0.12542337537755,0.0364290408940562,0.0668335305659913,0.123727302947763,0.0708231125993894,0.120631546404117,0.186848348153144,0.042813014632166,0.10899855053494,0.119111052437737,0.159615470415662,0.0912825377956733,0.0811908276948147
-41.5,0.151696766585274,0.122398719380787,0.100790892130527,0.099487086176542,0.146179617027584,0.146855912020459,0.153826167698937,0.218649975972817,0.155335280639308,0.0287352406672679,0.191924977106876,0.196065560931004,0.129249056953377,0.0697829849468591,0.0289518142301353,0.127035372366312,0.0785788553031878,0.118006481374813,0.154464849954536,0.0682260947746778,0.196646390713357,0.0658179748610343,0.128491918701518,0.0897685442993374,0.151332225876473,0.0430618268918807,0.0837627878985714,0.116624385903048,0.105114671685603,0.0998915885180569,0.196804915147526,0.0552279552055025,0.13132183072902,0.136402726536065,0.140506612923886,0.113267611595219,0.0902220729862102
-41,0.177698281546437,0.12054535644334,0.110100347778618,0.0675582731291637,0.128759288651494,0.157225156062681,0.144959349031447,0.170706199152876,0.189769206809029,0.0124406351910645,0.146708861540385,0.164611508196678,0.0935464213526015,0.023312771454807,0.00739720254423859,0.136278744646676,0.096218567283917,0.122517288209335,0.13807380451621,0.110172576180768,0.244304263286729,0.0746998950005845,0.106069156669392,0.0827303178126263,0.165828344034717,0.0536037646383985,0.0920044231177028,0.0748507990056329,0.114352931571121,0.100671242129268,0.221119049976402,0.0865480637387066,0.14855059643918,0.141746888565003,0.155445486925796,0.118965011946397,0.126271878486354
-40.5,0.165917567447798,0.103503685693482,0.108131526428681,0.0716349728085236,0.115236701922326,0.119266107346601,0.120558689122135,0.16308040075786,0.166179857091865,0.039261112561035,0.078611059166135,0.104767087330815,0.0902633910324946,0.0670306282462686,0.0256424066361132,0.164059665128082,0.110906576012114,0.132096536730333,0.104307949397121,0.143519269901305,0.242483511006623,0.0782464697867044,0.0908164879902793,0.111473157321345,0.183253242445094,0.0800458755218049,0.0557824749113513,0.0519785739001217,0.109495515633156,0.0790731137633974,0.212069192363197,0.100777297820159,0.16259090352529,0.144530412074311,0.157214506974463,0.071716723877235,0.120939179122073
-40,0.149960846657898,0.139586512708683,0.0746868308262182,0.0736647541001668,0.1168459817629,0.0776121617360059,0.110554383664235,0.152900843677494,0.119142958600448,0.0411624920898655,0.0808528094683011,0.109655665675521,0.109910742522938,0.0750962321982023,0.0688034530401263,0.224283482778012,0.143090858933199,0.164501194496239,0.0685730686002022,0.174370574224194,0.22001642517809,0.0546528574530418,0.113425482244523,0.169069043484798,0.2025868392883,0.107722072800641,0.033470584530127,0.0343995882681833,0.0517862351275769,0.0551027717678543,0.176888461976424,0.0512532535858412,0.168628938038315,0.150967351691862,0.159007647283502,0.0239380373262444,0.119906542788474
-39.5,0.106076713213709,0.131928173347482,0.10334441678342,0.0712095763557596,0.15048768696383,0.0875047858684441,0.135434329836998,0.145804694688278,0.0792487291977395,0.0448827292417386,0.0815708393397035,0.132875611046268,0.130216715960219,0.0871787335798129,0.0933577398850018,0.230199726104982,0.142849143441813,0.202060835714857,0.0448273435403422,0.130941436932816,0.179850099042949,0.0292043046979573,0.162820004362993,0.203418503991012,0.213275400761822,0.0999271900746591,0.0308809194290798,0.0158868615442856,0.0176445153002139,0.0870012488224686,0.194159878364638,0.0183875522901901,0.170480279706428,0.151074276341451,0.1581693121839,0.0251506645939454,0.136337655741216
-39,0.0899844187679645,0.0896276139415912,0.0499448729320703,0.0761657342487486,0.180721180994195,0.0882604191310585,0.167953301689857,0.146446856966123,0.0765959665240892,0.0474524309485992,0.0645991524844979,0.0730007550680403,0.0410533563981412,0.0645906950185057,0.0953738781007585,0.232618690345574,0.145138525049323,0.235634876776062,0.0266617122462384,0.134198628539322,0.152828525106021,0.0295300358738772,0.238879102161687,0.227107130266853,0.204576719441167,0.0726684855290364,0.00993353494319987,0.0530107671022609,0.0662011879547995,0.131595512150028,0.229333866600999,0.0825358570598397,0.173542518393492,0.139268213714876,0.0975874570763422,0.0392332939162335,0.163523566994511
-38.5,0.0659531842178106,0.0462145598630786,0.0994061874589681,0.1585045583207,0.203392776929974,0.0794689677383573,0.155632777354778,0.131529205876873,0.119132940011797,0.0819000511333873,0.0645565051585879,0.0701542512076625,0.0661789830325271,0.0468001020675028,0.0821148592010038,0.200114082012657,0.185249640366785,0.267912199893221,0.012435132626415,0.177870980427818,0.160622651560326,0.0619482438659299,0.279290301486973,0.250989503702032,0.188973643541038,0.0602961333707056,0.00915127447600774,0.073819979907637,0.0987700108412445,0.143607122012956,0.243551433845992,0.125760234219809,0.192879179293514,0.144139210748898,0.0702511815993937,0.104863646283145,0.167323071129838
-38,0.0345024219631127,0.0496526582130778,0.0888765597690914,0.132715392484265,0.224812202356975,0.0952421886572021,0.132242869256881,0.121862058982568,0.154886922588476,0.0755378405232875,0.0446055777080254,0.109225275169997,0.100085329416585,0.091513371690013,0.0848760837166092,0.196340758507521,0.236871833521713,0.291693890625373,0.0725352280182836,0.207029217000738,0.201622648260079,0.0339766864635963,0.251234634557379,0.26092661195016,0.194886762832629,0.0897333341398962,0.0285128955317136,0.0909125314528761,0.097706965839787,0.127128120831631,0.246533125938459,0.106076475188063,0.209630849557978,0.139209688439851,0.0831070972674806,0.169346438019996,0.166659741110784
-37.5,0.0789958329184117,0.0851415402183774,0.0815329149132139,0.108523533993805,0.241514174070437,0.116775015375123,0.102153460056984,0.106228643120516,0.131507115570733,0.0414760043588527,0.0342485508044274,0.165416972351143,0.118750410103911,0.110968623111677,0.0958882738150012,0.19920854152558,0.23313109547317,0.287023732532148,0.121966207783144,0.157893036595078,0.190967596101619,0.00814829134469854,0.211576119350907,0.235180731571937,0.217690184122731,0.137091952258636,0.0546055945829187,0.100230834085392,0.0798520030173933,0.0625532567382292,0.195072880380033,0.0767800324746096,0.219282500773769,0.115908256620222,0.0630895969939643,0.130969129795775,0.129851323961452
-37,0.140764700760443,0.120718583325402,0.00797959426318057,0.0517793325042688,0.223572594282461,0.129122633266169,0.0838239733361467,0.0857827349832404,0.0909470151256463,0.0289301231560506,0.0245618453190013,0.128718892294418,0.0817214541128133,0.091578814068723,0.0901423669059393,0.191538790604853,0.200302517369718,0.240936669144816,0.156748785989265,0.0943719909524569,0.18211531795514,0.0347761577244311,0.163015541806569,0.16543645941866,0.217858756752575,0.178206832425743,0.072476891840794,0.116920235612972,0.0487617615022817,0.00209631057855036,0.139232554580219,0.0186910771307189,0.21218848889638,0.0754385622671262,0.0572609961078262,0.0933329897494481,0.0915056406031733
-36.5,0.117344278596255,0.0612006007654555,0.0725786101543451,0.0673479709287053,0.12251601088512,0.0883770710021478,0.0529672281114992,0.113819377451188,0.0970484442927603,0.0534916855890008,0.0519284785232975,0.0479651576348773,0.0355884384600211,0.0845105027343962,0.0529574524468808,0.119261521513695,0.117004819671776,0.175099295295183,0.156677136456403,0.0456896740520909,0.197794527311668,0.0727142113269115,0.0996329187191033,0.109011912509795,0.198766643180823,0.168520592816713,0.0417765037418133,0.145179516077559,0.0966969374514906,0.0163231907766099,0.134010809875783,0.0493548771680107,0.209381677569226,0.0440943460371442,0.0715562722247765,0.0920535332585765,0.0480741987431377
-36,0.143896196413358,0.083705071212637,0.0743200497737397,0.0653790032273776,0.0783190860695878,0.106907071447042,0.0275914476444519,0.168605535711753,0.15386733208598,0.0716550900419032,0.0643607885587081,0.0552073329851363,0.0401313721225739,0.0529797675618339,0.0577650701082002,0.0568035547365865,0.0695779210531248,0.084474809449496,0.131849435054317,0.0394249753667444,0.202774863090795,0.109541618686346,0.0136586320271778,0.0814972992062569,0.16918299260974,0.109413423314043,0.0788196922238836,0.154460181665725,0.129463306732268,0.0116921656702034,0.152109342166957,0.129262332336079,0.216645971456893,0.0686139407243971,0.125373743638687,0.106755945608284,0.0223981317038317
