taps_from_fp,excess_path_m,reflector_off_m,amplitude_norm_mean,amplitude_norm_sd,n_frames
33,9.90924,5.10241563814631,0.54433849361111,0.10760204416494,18
33.5,10.05938,5.1775175997866,0.571579520388891,0.111475055053978,18
34,10.20952,5.25261864764614,0.709990772388889,0.0958714229349161,18
34.5,10.35966,5.32771882036768,0.86065281,0.0879678125014051,18
35,10.5098,5.40281815444496,1.00276935344445,0.10403738257576,18
35.5,10.65994,5.47791668437007,1.15356295122222,0.143041039462432,18
36,10.81008,5.5530144427689,1.31570482272222,0.158423504318508,18
36.5,10.96022,5.62811146052564,1.35740239772221,0.179969715382202,18
37,11.11036,5.7032077668975,1.05536958155555,0.113917871659644,18
37.5,11.2605,5.77830338962052,0.651881609833334,0.101746904131244,18
38,11.41064,5.85339835500711,0.458932107055558,0.111437161944153,18
38.5,11.56078,5.92849268803631,0.508745065277784,0.126036113606155,18
39,11.71092,6.00358641243715,0.795675933388889,0.0958070747248548,18
39.5,11.86106,6.07867955076594,1.07883529366667,0.0959128466653429,18
40,12.0112,6.1537721244778,1.14886614933333,0.115419556220596,18
40.5,12.16134,6.22886415399309,1.11522722227778,0.116001394950185,18
41,12.31148,6.30395565875903,1.19166790672222,0.115372878241814,18
41.5,12.46162,6.37904665730703,1.36097821355556,0.131818937784803,18
42,12.61176,6.45413716730595,1.57511688761111,0.165817421353535,18
42.5,12.7619,6.5292272056117,1.83754064238889,0.158870995052803,18
43,12.91204,6.60431678831353,2.14361059566667,0.153344698424442,18
43.5,13.06218,6.67940593077708,2.4758736765,0.17651736617061,18
44,13.21232,6.75449464768461,2.65662382183333,0.213865863610035,18
44.5,13.36246,6.82958295307261,2.54329633799999,0.236425028798459,18
45,13.5126,6.90467086036691,2.12581409311111,0.184051085865332,18
45.5,13.66274,6.97975838241554,1.76200592133334,0.175877209861918,18
46,13.81288,7.05484553151945,1.65256691544444,0.186433958590031,18
46.5,13.96302,7.12993231946138,1.57807823638889,0.197907251337242,18
47,14.11316,7.20501875753283,1.53882758611111,0.173726986577439,18
47.5,14.2633,7.28010485655942,1.643587478,0.12302856134589,18
48,14.41344,7.35519062692463,1.8927086475,0.115688515600794,18
48.5,14.56358,7.43027607859224,2.1444700395,0.151220597433919,18
49,14.71372,7.5053612211272,2.24669167577778,0.115251467827287,18
49.5,14.86386,7.58044606371551,2.23830506527778,0.0997084548189696,18
50,15.014,7.65553061518273,2.1201319095,0.12779738552007,18
50.5,15.16414,7.73061488401149,1.91082436866667,0.203275412855912,18
51,15.31428,7.80569887835804,1.593756402,0.188671315594367,18
51.5,15.46442,7.88078260606775,1.23619649,0.167432162463692,18
52,15.61456,7.95586607468979,0.953391089333334,0.134961640678148,18
52.5,15.7647,8.03094929149101,0.822293998833336,0.14085434936129,18
53,15.91484,8.10603226346898,1.03529532561111,0.107483847240397,18
53.5,16.06498,8.18111499736436,1.382914374,0.189634674952213,18
