taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4
36.5,0.600298882944311,1.13837443863253,1.66200594922555
37,0.434215678096494,0.997857704115624,1.4010358624045
37.5,0.248261492911769,0.780241171541976,1.17996339838779
38,0.235447770182312,0.666722573608002,0.857197468244237
38.5,0.44698463543848,0.809281954465627,0.916822716949626
39,0.674223979382464,1.14533016151399,1.27720741870088
39.5,0.923884755926864,1.46315450865487,1.6463930238836
40,1.0139107969915,1.55692272367032,1.68760568311645
40.5,1.11723361669359,1.4914854190489,1.70592451791227
41,1.28680140132787,1.63255049039047,1.83287789496301
41.5,1.74937115038542,2.33113585279976,2.51549861441792
42,2.28960913223693,3.35053958063188,3.58253175226278
42.5,2.77584248926446,4.12925131332193,4.45103291764645
43,2.82072115891729,4.46739899366193,4.49420134941534
43.5,2.49111731955609,4.23616665519508,4.16546979631927
44,1.80152730466168,3.4022458897676,2.9038665892036
44.5,0.97889290584331,2.17217041547547,1.59214928877365
45,0.705824828461525,0.86322868535094,0.790104483977488
45.5,1.13830305896252,0.640874659510832,1.74738731006224
46,1.10609623311829,1.19584626427183,2.12402110881356
46.5,0.760805159079232,1.50331164412582,2.28670080843891
47,0.642060665456978,1.89561929033931,2.20687837856803
47.5,1.34315343634341,2.75723722286291,2.88231126803365
48,1.98468832224545,3.55560060770477,3.64687081827059
48.5,2.46440725344729,3.99556055579607,4.42144925117194
49,2.35409584037804,3.87458465617532,4.08508792664691
49.5,2.0761970607041,3.10725269730762,3.53090744963146
50,1.69554934565712,2.25325889750162,2.50688322029966
50.5,1.4754959434039,1.69384505850701,1.95561684588541
51,1.42295910015818,1.72029337317037,2.1942676405137
51.5,1.33206115870379,1.86428116144321,2.63667319970136
52,1.28780009657757,1.89472032507693,2.67426477788763
52.5,1.17385900974492,1.75678297304706,2.59215371933639
53,1.11883358175477,1.51607772649864,2.28055740666604
53.5,1.04031311096601,1.25069715923668,1.92716782983387
54,0.873406136169872,0.941470492664228,1.51157383861876
54.5,0.700147610267709,0.632666950396762,1.0322218095664
55,0.472876250800364,0.46434673845578,0.373793512987216
55.5,0.359189530025894,0.732054999859032,0.361756580201697
56,0.515038406665063,1.16680327591304,0.891081766118331
56.5,0.690544625639706,1.4077785441138,1.24591908051516
57,0.705160090465784,1.43562311752889,1.14331895500356
57.5,0.622746865902939,1.29576380676166,0.884661563793925
58,0.586181892922414,1.08362834045465,0.471234155487483
58.5,0.7164932614876,1.0675987631479,0.393543273946556
59,0.862002832656038,1.14359073050626,0.708503988507084
59.5,1.01722912838973,1.19544257670552,1.03575961887542
60,1.01638878101605,1.23493363546823,1.10752923587943
60.5,0.978784016620752,1.1362382389756,1.09671321274384
61,0.789687336041317,0.943450326148781,0.819390232531521
61.5,0.583016365400234,0.690619858934476,0.583050702313353
62,0.518408990653003,0.601570490985857,0.675273342231774
62.5,0.627687928006911,0.731747685254415,1.03797723881481
63,0.756322686115565,0.910563503402309,1.29575993939119
63.5,0.801634790133053,0.973132580592745,1.48623435507078
64,0.684608362658184,0.898855013741466,1.49706269081122
64.5,0.40712171693198,0.749065617999246,1.40954189979024
65,0.166737881391535,0.53542460240879,0.985719613486754
65.5,0.151976039956518,0.468947276114216,0.698599066452662
66,0.269275605886068,0.405135106629076,0.60499157311715
66.5,0.334617529277151,0.560916313222841,1.03433658991675
67,0.436944207339369,0.94105568688257,1.57334632930511
67.5,0.518427654043075,1.29324791114556,2.04133865878927
68,0.530231672144237,1.4868199294927,2.22845583050801
68.5,0.459976709947925,1.43134531821568,2.20737589502952
69,0.392703620122778,1.16698535323936,1.73206565351607
69.5,0.367309786699736,0.990754511383031,1.33774289170825
70,0.440345462962243,1.04705160709923,1.09207221241758
70.5,0.620725097512718,1.32070403829185,1.29226527077615
71,0.849981142260367,1.70013944101932,1.79070179850357
71.5,1.09845199126449,1.99623330325694,2.30691501841343
72,1.1384464712379,2.04644017537946,2.34227276545729
72.5,1.04241960551868,1.80320892181682,2.25914743706394
73,0.74770022279484,1.36647512526515,1.58289478123321
73.5,0.376532057461788,0.784478622258968,0.823978406768273
74,0.162205133252382,0.298005366874812,0.203759201711613
74.5,0.456988769354251,0.48505468827265,0.782460628787164
75,0.632669589709873,0.874734064236443,1.157135740135
75.5,0.697362211888342,1.11163936677965,1.42674880272263
76,0.625880924017986,1.19446806685922,1.37392143338616
76.5,0.534616230960735,1.16960617221137,1.29916926840194
77,0.486157381432885,1.12609005754882,1.26213825012711
77.5,0.474579561413711,1.07841195200451,1.27095193713667
78,0.469839985657705,1.00299727271574,1.26262675651245
78.5,0.408563778347179,0.842768882626883,1.20803686121374
79,0.295834345914164,0.564940629273728,1.00346303681494
79.5,0.157849524402029,0.232176926263536,0.766459147345425
80,0.164984648138336,0.393264878525197,0.355787353588562
80.5,0.47146847915376,0.881693376947508,0.535151734583213
81,0.768620219755308,1.39903521961202,1.13607192791263
81.5,1.02174896278869,1.79903194582494,1.75974376131146
82,1.09131727713643,1.965891537243,2.02162985184262
82.5,1.03585758334748,1.8592162483052,2.17635140306335
83,0.855318885018509,1.56739208673739,1.86126643307648
83.5,0.641964320901869,1.14429328195846,1.49202115112604
84,0.360398964408571,0.673987172991271,0.886775123566302
84.5,0.116198080839375,0.332855156471972,0.460479603807791
85,0.0783493312674689,0.333987256226876,0.578080534864716
85.5,0.12485237381881,0.40425986926845,0.814562141286644
86,0.0729054916469103,0.450229950393202,0.923496357295742
86.5,0.0352501806460678,0.490701814570332,0.980766164996744
87,0.142781807175281,0.477803866593876,0.830871523944265
87.5,0.235886255680159,0.435782357341134,0.682202897276827
88,0.250420931409784,0.350168815097134,0.453878829685224
88.5,0.238541788848613,0.236567025158321,0.259230188498032
89,0.172885157147959,0.141841782666551,0.12608924940001
89.5,0.123926182003853,0.221483434990844,0.181249260272613
90,0.189904218809224,0.39272448325803,0.367522329713671
90.5,0.361183352025391,0.615117165787346,0.601050752611794
91,0.526140634215652,0.836311680486591,0.867193447266587
91.5,0.666129934931699,1.01270820871241,1.15352094682832
