taps_from_fp,amplitude_norm_diff,background_mean,phase2_mean,n_background,n_phase2
-5.5,0.039094889566027,0.147147473520833,0.18624236308686,96,99
-5,0.0383420911817354,0.159658810614583,0.198000901796319,96,99
-4.5,0.0260363237684028,0.183332019666667,0.20936834343507,96,99
-4,0.0116440613266617,0.204992632989583,0.216636694316245,96,99
-3.5,0.000723185371662632,0.207853578916666,0.208576764288329,96,99
-3,0.00590844335910856,0.182911363520833,0.188819806879942,96,99
-2.5,0.0318315190015417,0.166118651510417,0.197950170511958,96,99
-2,0.0440757110647452,0.296628667614583,0.340704378679328,96,99
-1.5,0.0021601441361544,0.80942922444792,0.811589368584074,96,99
-1,0.00348850174922744,2.20749669873959,2.21098520048881,96,99
-0.5,-0.204215833696729,5.26473437431252,5.06051854061579,96,99
0,-0.138462554068573,9.59340886102346,9.45494630695488,96,99
0.5,-0.104887578576703,14.0074487866484,13.9025612080717,96,99
1,-0.253579404978151,17.0268031804193,16.7732237754411,96,99
1.5,-0.158540045358759,18.2436866068359,18.0851465614772,96,99
2,-0.176650174439711,18.5170573726499,18.3404071982102,96,99
2.5,-0.131973530210338,18.0108757573657,17.8789022271554,96,99
3,-0.380926486452555,16.3231345709773,15.9422080845248,96,99
3.5,-0.697169547352926,13.659976215641,12.9628066682881,96,99
4,-0.787559286242855,12.7152181786276,11.9276588923847,96,99
4.5,-0.9241208309573,14.7001357691559,13.7760149381986,96,99
5,-0.943935483333972,16.6744104675383,15.7304749842044,96,99
5.5,-0.791861777235592,16.5972545612437,15.8053927840081,96,99
6,-0.238706336114811,14.3343384638761,14.0956321277613,96,99
6.5,1.47201742386425,9.71737078618563,11.1893882100499,96,99
7,2.20614476833763,5.7995391848493,8.00568395318693,96,99
7.5,0.265887750148402,5.88226065737762,6.14814840752602,96,99
8,-1.68037721407581,7.60110397272881,5.920726758653,96,99
8.5,-1.56877864066616,7.61475294116331,6.04597430049715,96,99
9,-0.0449528354453115,6.093041114827,6.04808827938169,96,99
9.5,1.12719801205993,4.66113731443862,5.78833532649854,96,99
10,0.761493193419029,4.17431537920647,4.9358085726255,96,99
10.5,-0.342281843514147,4.12176733828683,3.77948549477268,96,99
