FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv,elapsed_s
119,758213984097,747.75,747,1662,-71.93,697,0.7,150,01_raw_frames\frame_0119.csv,02_lde_aligned\frame_0119_aligned.csv,11.8000704020339
120,764603780687,752.1719,752,1709,-73.99,702,0.7,150,01_raw_frames\frame_0120.csv,02_lde_aligned\frame_0120_aligned.csv,11.9000709746688
121,770993577349,748.2031,748,1496,-67.98,698,0.7,150,01_raw_frames\frame_0121.csv,02_lde_aligned\frame_0121_aligned.csv,12.0000715484306
122,777383373901,752.2344,752,1527,-69.03,702,0.7,150,01_raw_frames\frame_0122.csv,02_lde_aligned\frame_0122_aligned.csv,12.1000721204709
123,783773169988,746.625,746,1539,-70.3,696,0.7,150,01_raw_frames\frame_0123.csv,02_lde_aligned\frame_0123_aligned.csv,12.2000726852339
124,790162966531,750.2656,750,1134,-62.74,700,0.7,150,01_raw_frames\frame_0124.csv,02_lde_aligned\frame_0124_aligned.csv,12.3000732571333
125,796552762998,752.5156,752,1449,-69.74,702,0.7,150,01_raw_frames\frame_0125.csv,02_lde_aligned\frame_0125_aligned.csv,12.4000738278433
126,802942559485,746.5,746,1343,-69.57,696,0.7,150,01_raw_frames\frame_0126.csv,02_lde_aligned\frame_0126_aligned.csv,12.5000743988663
127,809332355986,748.3281,748,1205,-65.37,698,0.7,150,01_raw_frames\frame_0127.csv,02_lde_aligned\frame_0127_aligned.csv,12.6000749701084
128,815722151808,749.0469,749,1450,-69.45,699,0.7,150,01_raw_frames\frame_0128.csv,02_lde_aligned\frame_0128_aligned.csv,12.7000755307242
129,822111948247,749.5312,749,1404,-69.52,699,0.7,150,01_raw_frames\frame_0129.csv,02_lde_aligned\frame_0129_aligned.csv,12.800076100996
130,828501744579,749.4531,749,1436,-69.22,699,0.7,150,01_raw_frames\frame_0130.csv,02_lde_aligned\frame_0130_aligned.csv,12.9000766695932
131,834891540898,748.625,748,1403,-67.34,698,0.7,150,01_raw_frames\frame_0131.csv,02_lde_aligned\frame_0131_aligned.csv,13.000077237987
132,841281337239,747.9531,747,1050,-60.33,697,0.7,150,01_raw_frames\frame_0132.csv,02_lde_aligned\frame_0132_aligned.csv,13.1000778067251
133,847671133506,746.875,746,1113,-62.36,696,0.7,150,01_raw_frames\frame_0133.csv,02_lde_aligned\frame_0133_aligned.csv,13.2000783743051
134,854060929735,745.1406,745,1244,-64.87,695,0.7,150,01_raw_frames\frame_0134.csv,02_lde_aligned\frame_0134_aligned.csv,13.3000789412904
135,860450725471,752.5781,752,1106,-61.13,702,0.7,150,01_raw_frames\frame_0135.csv,02_lde_aligned\frame_0135_aligned.csv,13.4000795005603
