taps_from_fp,excess_path_m,reflector_off_m,amplitude_norm_mean,amplitude_norm_sd,n_frames
-7,-2.10196,NaN,0.182801722800001,0.0558001666116835,5
-6.5,-1.95182,NaN,0.176048722800001,0.0481514776377885,5
-6,-1.80168,NaN,0.168775024800001,0.0374788537943656,5
-5.5,-1.65154,NaN,0.158855024800001,0.0405610324908552,5
-5,-1.5014,NaN,0.171765585399999,0.0361232552151879,5
-4.5,-1.35126,NaN,0.188029585399999,0.0486484404772127,5
-4,-1.20112,NaN,0.166194504800002,0.0459844654119089,5
-3.5,-1.05098,NaN,0.136088504800002,0.0346880563812079,5
-3,-0.90084,NaN,0.113612674000001,0.0407945717717313,5
-2.5,-0.7507,NaN,0.0917786740000009,0.0500349740721317,5
-2,-0.60056,NaN,0.108262218999993,0.0538277504819071,5
-1.5,-0.45042,NaN,0.200045218999993,0.152146503014626,5
-1,-0.30028,NaN,1.60726731719982,0.413066212033933,5
-0.5,-0.15014,NaN,4.56816031719982,0.510245495165908,5
0,0,0,9.25025596399966,0.217368582146141,5
0.5,0.15014,0.617240232729527,14.8693559639997,0.484406678528201,5
1,0.30028,0.879341810446882,17.9061547686,0.42166298782731,5
1.5,0.45042,1.08479009218374,18.6918897686,0.120248101063956,5
2,0.60056,1.2615736515955,18.9790876668,0.123307895369963,5
2.5,0.7507,1.42043571572247,18.9425266668,0.137265005757772,5
3,0.90084,1.56683699739316,18.7360389184,0.230148377289293,5
3.5,1.05098,1.70399229461286,18.3210959184,0.174919720001615,5
4,1.20112,1.83397718459091,17.9453714452,0.124637690503308,5
4.5,1.35126,1.95822008387719,17.7207424452,0.160726037902425,5
5,1.5014,2.07775130609994,17.6016326502,0.400764701263895,5
5.5,1.65154,2.19334130789077,17.3579236502,0.860107575250374,5
6,1.80168,2.305582942685,14.5453378162004,1.45614009344838,5
6.5,1.95182,2.41494313144223,9.56219481620037,3.29672579478438,5
7,2.10196,2.52179677222412,9.16750741859969,3.69650688978787,5
7.5,2.2521,2.62644980962896,12.9639334185997,2.88190506489362,5
8,2.40224,2.72915541045211,13.7034276010002,2.18134758198074,5
8.5,2.55238,2.83012560076404,11.4056136010002,1.92812118488379,5
9,2.70252,2.92953982522853,11.0098120417999,2.5090828693868,5
9.5,2.85266,3.02755136519597,12.3744850417999,2.77127740773862,5
10,3.0028,3.12429223345064,10.7110195032002,1.41092515925514,5
10.5,3.15294,3.21987696362765,6.70173950320025,0.550137758261368,5
11,3.30308,3.31440558344932,4.07573971440011,0.612416755761038,5
11.5,3.45322,3.4079659757838,2.83768471440011,2.01958946702689,5
12,3.60336,3.50063577402734,2.11144795180001,2.1791782292252,5
12.5,3.7535,3.59248389871131,1.45174495180001,1.27711344509443,5
13,3.90364,3.68357181447573,1.26469764979999,0.720832126391715,5
13.5,4.05378,3.7739545667774,1.54615864979999,0.708384547923822,5
14,4.20392,3.86368164340697,1.75155473119998,0.686232999695634,5
14.5,4.35406,3.95279769541777,1.83896273119998,0.844004901869838,5
15,4.5042,4.0413431443024,2.03061873919998,0.67153484172914,5
15.5,4.65434,4.12935469642655,2.22634273919998,0.869453331275359,5
16,4.80448,4.21686578131199,2.34754903799999,1.07335155042556,5
16.5,4.95462,4.30390692697925,2.60638803799999,1.06122047014256,5
17,5.10476,4.39050608294761,2.90893985639998,1.11507885428537,5
17.5,5.2549,4.4766888994546,3.42391785639998,1.35421149196275,5
18,5.40504,4.56247896985838,5.50500746359979,1.63158187697675,5
18.5,5.55518,4.64789804192175,8.83520446359979,1.49898757210369,5
19,5.70532,4.73296620266826,10.9815769709999,1.07915825331784,5
19.5,5.85546,4.81770204069326,11.8550019709999,1.35623891105696,5
20,6.0056,4.90212278915981,10.9004307260002,1.5630537581072,5
