taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4,transition_4_to_5,transition_5_to_6,transition_6_to_7,transition_7_to_8,transition_8_to_9,transition_9_to_10,transition_10_to_11,transition_11_to_12,transition_12_to_13,transition_13_to_14,transition_14_to_15,transition_15_to_16,transition_16_to_17,transition_17_to_18,transition_18_to_19,transition_19_to_20,transition_20_to_21,transition_21_to_22,transition_22_to_23
-12,0.191228296591759,0.170369563960161,0.14382295553789,0.0818738046885242,0.150414788064934,0.116526254022826,0.0841618575218043,0.0226688721173007,0.126500993908743,0.184728074095682,0.0779057994227682,0.150601700436858,0.198640468741528,0.0837569045049838,0.172601314795213,0.186472349113028,0.0544925806173877,0.0836521873818602,0.116567715350997,0.0891566440330041,0.137959999658529,0.0879467551057505
-11.5,0.201907106267684,0.167396098373365,0.110353973149258,0.0708876608271882,0.126604843682193,0.127600936809724,0.122106434881051,0.0557087166514792,0.109892288411574,0.156655627299862,0.110821442639138,0.144691760134331,0.222775052045004,0.13164122404316,0.148975941021524,0.215029856142086,0.103947589881557,0.160924391020341,0.110783029901469,0.153913870719182,0.152541442976121,0.063772689277403
-11,0.160833294232411,0.0969363654383204,0.0895756123966169,0.0881758260997197,0.109439031111769,0.176836390185384,0.15238116157774,0.0720381426314537,0.094148627399421,0.110258975784752,0.082397245507261,0.11992721071918,0.171709587664822,0.120677840378065,0.140151430890594,0.248690563784202,0.127453221312559,0.196677019815919,0.180666286488778,0.143246578315002,0.218702492285155,0.0719297074068296
-10.5,0.171700824944411,0.0403907981072782,0.119558197473117,0.134980234885447,0.0851569787453919,0.204972598534715,0.188836672434137,0.10241947669788,0.047928410611959,0.0832070937796845,0.0691685885596456,0.085749526621283,0.133570749548141,0.110204822648586,0.122844893989762,0.234223341027221,0.12408049387477,0.244142668133024,0.299556494664191,0.157484323094519,0.288765557500605,0.109385367333093
-10,0.104797013149587,0.0366934030807355,0.121222750130662,0.180628677059826,0.0877345055591259,0.193017851461461,0.19668080911081,0.121414619365369,0.0130704298955361,0.123532025652763,0.0740939945315785,0.0397513454153057,0.103987360834768,0.0689280160798563,0.0890396574340943,0.234872261303389,0.14348397394429,0.207994203635012,0.266615231408105,0.109125470695406,0.244567154599358,0.132694980154099
-9.5,0.0935515875356766,0.0954149755055529,0.110968843234062,0.185448690418475,0.104027128837009,0.181638417015781,0.19026465982629,0.10578003362281,0.0768013879389801,0.143235906223527,0.117938254907198,0.0147927572637192,0.06898971409956,0.0717775955064476,0.0539392692791333,0.150549385440328,0.094292386994647,0.175468353665052,0.208552693177352,0.078930682955071,0.153192886356378,0.144198661888391
-9,0.0924770050137158,0.123323897172801,0.0541836684310737,0.156621759080996,0.123326837290149,0.216348097060228,0.206115874524548,0.0348663520978371,0.153775121559403,0.158873752886083,0.0813075512473688,0.0207420523496493,0.0624242109932807,0.138130625807646,0.0793772497610725,0.087790886275563,0.0587355199858069,0.125652838692617,0.126042687647003,0.0573446229098749,0.0754752516541426,0.144182275987032
-8.5,0.104445369792631,0.154493211645533,0.0719046084233831,0.160920348219425,0.112114368609091,0.187631285316153,0.214959203167113,0.0788498588122431,0.124128201382899,0.123768011270257,0.044518298848618,0.0555075310726685,0.101733529028382,0.218638367418807,0.0856732181125329,0.0288253595209044,0.0186638311368972,0.0879380051036014,0.0992160412244295,0.0233475795143604,0.0505665230128652,0.12622901590489
-8,0.0463745597904741,0.0980602083032922,0.0973719088752886,0.1681978046353,0.0831239660685542,0.0747041387557768,0.0946502314819737,0.0367873070468749,0.106450786743865,0.111107807645222,0.0229767611440155,0.0809719686060914,0.0645994600715941,0.230200565500752,0.0830221362835689,0.0324470750041233,0.0431377103317589,0.0789449347175629,0.106466332957963,0.0278160794957621,0.0682432269612657,0.123274650811955
-7.5,0.042216027183364,0.0718464582688292,0.0478832690030949,0.155477301119643,0.0778702435808967,0.035823764270012,0.031138839600708,0.00901575593975018,0.0788936609390724,0.0934511942829742,0.00977953673311114,0.0813102942264605,0.0682583400207647,0.224488594263635,0.0938876793339673,0.0689991265715037,0.0605594958888958,0.055036587908683,0.127153606226316,0.0605980671507057,0.0773399566502002,0.132707169357385
-7,0.128717926188926,0.146383635266592,0.0403966988125155,0.0735556744203189,0.0643610066983159,0.110975558609576,0.129573500575972,0.040387393168258,0.125200193401335,0.0917295362922956,0.0390408080052107,0.095634135120891,0.0552541333918315,0.127112706952482,0.111103118400312,0.117438152149848,0.0753098606539699,0.0504612735912074,0.0898853345526073,0.0198417704160727,0.0736322407224665,0.1268533537703
