taps_from_fp,transition_1_to_2,transition_2_to_3,transition_3_to_4,transition_4_to_5,transition_5_to_6,transition_6_to_7,transition_7_to_8,transition_8_to_9,transition_9_to_10,transition_10_to_11,transition_11_to_12,transition_12_to_13,transition_13_to_14,transition_14_to_15,transition_15_to_16,transition_16_to_17
-22.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-21.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-20.5,NaN,NaN,NaN,NaN,NaN,NaN,0.144035737987497,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.290724539592649,0.251767207823227
-20,0.124836914950921,0.239142233280928,0.238213175384167,0.292387910588094,0.190355902932097,0.0481074854049528,0.112991594081844,0.319305371855017,0.207268428889752,0.120485966587539,0.158273233980105,0.214372331447083,0.0673941464014185,0.301721626341883,0.227730610619355,0.154182918681865
-19.5,0.0654871623373218,0.141251194917401,0.125808403748072,0.175455028165117,0.104524253041881,0.0633687771649895,0.0695007061651694,0.139081074176398,0.0905748429635755,0.079595859640668,0.100167395401911,0.143797496339836,0.023795130726811,0.165485617874426,0.145749385824869,0.077649519153133
-19,0.0860580013870458,0.173007133787676,0.152582859717229,0.182573396570434,0.0852876644576128,0.0892871406373266,0.0903743860859648,0.0854324428965658,0.038927973054079,0.0525576703167267,0.03467087029597,0.132423987380995,0.0227011273320743,0.0584693920957726,0.0190456055783336,0.0288325655723085
-18.5,0.10724130860824,0.247894683524765,0.213363810409725,0.230267171889363,0.0968517329877444,0.0752156710576558,0.110235183944121,0.161227654992643,0.0649356586485502,0.0402905025394196,0.0960855747529323,0.158256999672579,0.0289399142322901,0.108670189850354,0.0555329823109802,0.141080715472478
-18,0.130595851111616,0.319266675307064,0.252641438283939,0.270002368620366,0.095952479348124,0.0515875462291222,0.119656737263794,0.1973895727077,0.077241351282221,0.0723907455409303,0.145856056926645,0.178667402564417,0.0428736199280532,0.132001965284387,0.106148369049255,0.206193792604033
-17.5,0.114474143308964,0.216499539723329,0.17098056971927,0.202595651191285,0.084964677586789,0.0194114525228997,0.0773114038119283,0.107730821709049,0.0294840899094315,0.0719427191125021,0.0982631215298569,0.142332905180301,0.0777261146000215,0.0978395698244307,0.11049412682664,0.204878475805328
-17,0.149452251434658,0.157628100345352,0.102123624870838,0.135521626313305,0.0247074790311717,0.0580727501266149,0.0530357647430199,0.096145761951601,0.0598093875464097,0.0887877706271633,0.0565794344635214,0.0947344673729057,0.124441827577426,0.115425625775628,0.0991503161901909,0.157334754988451
