taps_from_fp,offset_m,amplitude_norm_diff,amplitude_norm_diff_pos,background_mean,phase2_mean,n_background,n_phase2
10.5,2.01537283421703,0.74238209712875,0.74238209712875,4.34158454934448,5.08396664647323,96,97
11,2.09263574747255,0.668952840754756,0.668952840754756,2.58414923381327,3.25310207456802,96,97
11.5,2.16974470666482,0.45725297158176,0.45725297158176,1.71127027578201,2.16852324736377,96,97
12,2.24671556330569,0.571202101441638,0.571202101441638,1.15574446456327,1.72694656600491,96,97
12.5,2.32356204188741,0.873529572615452,0.873529572615452,0.83152300094812,1.70505257356357,96,97
13,2.40029608848575,0.746440481615485,0.746440481615485,1.16133397818717,1.90777445980266,96,97
13.5,2.47692815238957,0.0983025356047982,0.0983025356047982,2.05060847646786,2.14891101207266,96,97
14,2.55346741541771,-0.376549297466556,0,2.73916385563395,2.36261455816739,96,97
14.5,2.62992198000245,-0.555875887734746,0,3.00096648689381,2.44509059915906,96,97
15,2.70629902449822,-0.675326795371493,0,2.90545829690365,2.23013150153215,96,97
15.5,2.78260493223526,-0.789684659578159,0,2.59487846919475,1.80519380961659,96,97
16,2.85884539938766,-0.852672897496695,0,2.18822863953794,1.33555574204124,96,97
16.5,2.93502552563006,-0.715519464541643,0,1.68219275314154,0.966673288599899,96,97
17,3.01114989072281,-0.350023375031807,0,1.15520555393264,0.805182178900837,96,97
17.5,3.0872226195239,0.0442931123450775,0.0442931123450775,0.740344903619577,0.784638015964655,96,97
18,3.16324743742882,0.120358279968402,0.120358279968402,0.654926247400279,0.77528452736868,96,97
18.5,3.2392277178519,-0.0743067066397268,0,0.829454130680964,0.755147424041237,96,97
19,3.31516652305733,-0.169542534352655,0,1.03453741188873,0.864994877536079,96,97
19.5,3.39106663940714,-0.107494627077179,0,1.2379815292215,1.13048690214432,96,97
20,3.46693060790088,0.010374605607451,0.010374605607451,1.41716193486677,1.42753654047422,96,97
20.5,3.54276075072817,0.0849229643525395,0.0849229643525395,1.56662986464746,1.651552829,96,97
21,3.61855919443084,0.023584634935893,0.023584634935893,1.79438842311565,1.81797305805155,96,97
21.5,3.69432789017163,-0.0988085925031994,0,2.21948791276092,2.12067932025772,96,97
22,3.77006863152383,-0.136136522208736,0,3.15573426124996,3.01959773904122,96,97
22.5,3.84578307013019,-0.086945364102192,0,4.69835313796814,4.61140777386595,96,97
23,3.92147272952395,0.113710628961548,0.113710628961548,6.62673673321368,6.74044736217523,96,97
23.5,3.99713901735979,0.248853349130506,0.248853349130506,8.6282222488798,8.8770755980103,96,97
24,4.07278323626485,0.325786049307652,0.325786049307652,9.8377130947542,10.1634991440618,96,97
24.5,4.14840659348864,0.3547487263817,0.3547487263817,9.83477849562865,10.1895272220104,96,97
25,4.22401020950471,0.158962183709955,0.158962183709955,8.32106598984678,8.48002817355673,96,97
25.5,4.29959512569498,0.0904504594533186,0.0904504594533186,5.57399300779413,5.66444346724745,96,97
26,4.37516231122915,-0.0556527683207384,0,3.09581783292901,3.04016506460827,96,97
26.5,4.45071266923624,-0.247777268105204,0,1.76012810407426,1.51235083596905,96,97
27,4.52624704235197,-0.225945612449383,0,1.61072987951124,1.38478426706185,96,97
27.5,4.60176621771467,-0.201336868503051,0,1.8895593117711,1.68822244326805,96,97
28,4.67727093147275,-0.239397172085068,0,2.01664752128095,1.77725034919588,96,97
28.5,4.75276187285877,-0.286753303849869,0,2.29068038451996,2.00392708067009,96,97
29,4.82823968787797,-0.245050628188556,0,2.88946667742566,2.6444160492371,96,97
29.5,4.90370498265342,-0.188439956374202,0,3.5972556474876,3.4088156911134,96,97
30,4.97915832646442,-0.0190312476318915,0,3.9700859765391,3.95105472890721,96,97
30.5,5.05460025451074,0.205365569863744,0.205365569863744,3.84983046851772,4.05519603838146,96,97
31,5.13003127043101,0.286922725328457,0.286922725328457,3.13587869049629,3.42280141582475,96,97
31.5,5.20545184860066,0.39541145025104,0.39541145025104,2.22773280205822,2.62314425230926,96,97
32,5.28086243623142,0.451066339710003,0.451066339710003,2.49371641158896,2.94478275129896,96,97
32.5,5.35626345529232,0.311630172014476,0.311630172014476,3.86528042710923,4.17691059912371,96,97
33,5.43165530426959,0.25636343949724,0.25636343949724,4.6992454183378,4.95560885783504,96,97
33.5,5.50703835978105,0.23682388719703,0.23682388719703,4.42159145051434,4.65841533771137,96,97
34,5.58241297805886,0.0630711945025988,0.0630711945025988,3.15451428593041,3.21758548043301,96,97
34.5,5.65777949631302,-0.0208989739562633,0,1.75055081649232,1.72965184253606,96,97
35,5.73313823398669,-0.235623433289539,0,2.25270300986685,2.01707957657731,96,97
35.5,5.8084894939132,-0.834383025468203,0,4.4009023462517,3.5665193207835,96,97
36,5.88383356338365,-1.26061092325935,0,5.41027007205317,4.14965914879382,96,97
36.5,5.95917071513311,-1.26033549608127,0,4.42564576183387,3.1653102657526,96,97
37,6.03450120825243,-1.10234984768262,0,3.08347804021872,1.9811281925361,96,97
37.5,6.10982528903241,-0.928192774609905,0,2.86801674321813,1.93982396860823,96,97
38,6.18514319174585,-0.868995624351629,0,3.4875603452176,2.61856472086597,96,97
38.5,6.26045513937285,-0.808260449150886,0,3.51495500280039,2.7066945536495,96,97
39,6.33576134427426,-0.66502323065118,0,2.95402025038314,2.28899701973196,96,97
39.5,6.41106200881726,-0.602182141294645,0,3.3556336968513,2.75345155555665,96,97
40,6.4863573259573,-0.560207257711106,0,5.28905931929871,4.7288520615876,96,97
40.5,6.56164747977975,-0.641915030120859,0,7.25603816110026,6.6141231309794,96,97
41,6.63693264600448,-0.333352296348722,0,6.94940792426626,6.61605562791754,96,97
41.5,6.71221299245636,0.609974999646055,0.609974999646055,4.4601808308282,5.07015583047426,96,97
42,6.78748867950437,0.517288808380028,0.517288808380028,2.67918450368185,3.19647331206188,96,97
42.5,6.86275986047159,-0.716312399840435,0,2.97359470411877,2.25728230427833,96,97
43,6.93802668201845,-1.33247729815164,0,3.82189582775988,2.48941852960824,96,97
43.5,7.01328928450125,-1.08991425723548,0,3.82299500394684,2.73308074671136,96,97
44,7.08854780230761,-0.544119528921101,0,2.81304082350873,2.26892129458763,96,97
44.5,7.16380236417086,-0.244137988929655,0,1.76272550739356,1.51858751846391,96,97
45,7.23905309346464,-0.92180498557543,0,2.37141215108058,1.44960716550516,96,97
45.5,7.31430010847928,-2.22925628233723,0,4.44224877902794,2.21299249669071,96,97
46,7.38954352268122,-3.20708480495444,0,6.33983320095444,3.13274839599999,96,97
46.5,7.46478344495673,-3.8255429326636,0,7.39531868579764,3.56977575313404,96,97
47,7.5400199798409,-3.98645802514377,0,7.00273979843243,3.01628177328867,96,97
47.5,7.61525322773314,-3.41656586522762,0,5.23609605561938,1.81953019039176,96,97
48,7.69048328509984,-2.23217971731767,0,3.3213147180084,1.08913500069073,96,97
48.5,7.76571024466533,-0.804605925716164,0,2.06770845971616,1.26310253399999,96,97
49,7.84093419559175,0.044260809563049,0.044260809563049,1.60007948668437,1.64434029624742,96,97
49.5,7.91615522364866,0.28023383556109,0.28023383556109,1.295729581975,1.57596341753609,96,97
50,7.99137341137304,0.322952530215859,0.322952530215859,0.931379121794447,1.25433165201031,96,97
50.5,8.06658883822028,0.157205286114521,0.157205286114521,0.970999681957633,1.12820496807215,96,97
51,8.14180158070682,0.105989440227213,0.105989440227213,1.18781982536041,1.29380926558763,96,97
51.5,8.21701171254489,0.465029606804133,0.465029606804133,1.07917678873195,1.54420639553608,96,97
52,8.29221930476998,0.9624698549121,0.9624698549121,0.905264834593057,1.86773468950516,96,97
52.5,8.36742442586128,1.17188568567288,1.17188568567288,1.11880623913125,2.29069192480413,96,97
53,8.44262714185579,0.958779934770737,0.958779934770737,1.57333012497153,2.53211005974227,96,97
53.5,8.51782751645629,0.552313056344979,0.552313056344979,1.85797785860348,2.41029091494846,96,97
54,8.59302561113372,0.497816437447473,0.497816437447473,1.61566380499582,2.1134802424433,96,97
54.5,8.66822148522406,0.945859293575402,0.945859293575402,1.08960338491943,2.03546267849483,96,97
55,8.74341519602037,1.33464864098917,1.33464864098917,1.1235753329902,2.45822397397938,96,97
55.5,8.81860679886001,1.27366793412754,1.27366793412754,1.7045937449034,2.97826167903094,96,97
56,8.89379634720742,0.847982565040173,0.847982565040173,2.02777648271241,2.87575904775258,96,97
