taps_from_fp,mti_mean_abs_frame_difference,background_mti_mean,threshold,detected_peak
22.5,1.14509612170404,1.24102341656256,0.890640633132122,1
23,0.721556332091882,0.467023125354154,0.890640633132122,0
23.5,0.660347694000049,0.269078995812485,0.890640633132122,0
24,0.664589394183687,0.283018642291684,0.890640633132122,0
24.5,0.624564769887764,0.229333864458321,0.890640633132122,0
25,0.605763102397966,0.233523648354151,0.890640633132122,0
25.5,0.569522341438775,0.241492012583329,0.890640633132122,0
26,0.442002028357152,0.187873702416664,0.890640633132122,0
26.5,0.390569767999996,0.17239680519791,0.890640633132122,0
27,0.332143274938765,0.193677407822928,0.890640633132122,0
27.5,0.42364669005103,0.245169152687491,0.890640633132122,0
28,0.434124561520424,0.181711082666658,0.890640633132122,0
28.5,0.362668062479614,0.173365645729173,0.890640633132122,0
29,0.231733422724517,0.141987105812507,0.890640633132122,0
29.5,0.20838956390818,0.113535124312511,0.890640633132122,0
30,0.201550778785728,0.0919896847500101,0.890640633132122,0
30.5,0.234693597357139,0.118725438114587,0.890640633132122,0
31,0.244488930112244,0.121600265010422,0.890640633132122,0
31.5,0.228331963816328,0.117193036395832,0.890640633132122,0
32,0.215227289102039,0.121823243208337,0.890640633132122,0
32.5,0.232692788193868,0.120368269072908,0.890640633132122,0
33,0.191498089377556,0.0971066936770747,0.890640633132122,0
33.5,0.170934454204077,0.101534190229171,0.890640633132122,0
34,0.159418318816314,0.0739967186666669,0.890640633132122,0
34.5,0.206671775693876,0.129815442291687,0.890640633132122,0
35,0.304852395387775,0.125347437708356,0.890640633132122,0
35.5,0.467471565112256,0.174762122020837,0.890640633132122,0
36,0.585188942948992,0.249032073770832,0.890640633132122,0
36.5,0.554404219928578,0.28012803354169,0.890640633132122,0
37,0.440483221234693,0.220868317000017,0.890640633132122,0
37.5,0.408394811663275,0.182591101812487,0.890640633132122,0
38,0.451528700887769,0.206211761687484,0.890640633132122,0
38.5,0.459838375836753,0.231338792187503,0.890640633132122,0
39,0.401497689612253,0.171804964124999,0.890640633132122,0
39.5,0.380873506020409,0.168236404208317,0.890640633132122,0
40,0.305295818306105,0.167205943479158,0.890640633132122,0
40.5,0.254016454663235,0.158233197531251,0.890640633132122,0
41,0.262498195459179,0.122181281531247,0.890640633132122,0
41.5,0.30806033391836,0.139270061677082,0.890640633132122,0
42,0.261318083224524,0.136396722531242,0.890640633132122,0
42.5,0.310329045030631,0.149058960156233,0.890640633132122,0
43,0.343081284826548,0.178061604614562,0.890640633132122,0
43.5,0.334149408071446,0.19506589337496,0.890640633132122,0
